Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
fastp | SRR35329987_1	(17.0, 4.0)	(18.0, 815.0)	(19.0, 9970.0)	(20.0, 43188.0)	(21.0, 83259.0)	(22.0, 119187.0)	(23.0, 151746.0)	(24.0, 184378.0)	(25.0, 221969.0)	(26.0, 261912.0)	(27.0, 298927.0)	(28.0, 343759.0)	(29.0, 393543.0)	(30.0, 449130.0)	(31.0, 536254.0)	(32.0, 634770.0)	(33.0, 758630.0)	(34.0, 968284.0)	(35.0, 1296029.0)	(36.0, 2072506.0)	(37.0, 3534972.0)	(38.0, 8851228.0)	(39.0, 51827482.0)	(40.0, 10946812.0)
fastp | SRR35329987_2	(17.0, 2.0)	(18.0, 4527.0)	(19.0, 25462.0)	(20.0, 65896.0)	(21.0, 103083.0)	(22.0, 136224.0)	(23.0, 166221.0)	(24.0, 193716.0)	(25.0, 223229.0)	(26.0, 251629.0)	(27.0, 276083.0)	(28.0, 307755.0)	(29.0, 346488.0)	(30.0, 386758.0)	(31.0, 452951.0)	(32.0, 532337.0)	(33.0, 644865.0)	(34.0, 851344.0)	(35.0, 1156732.0)	(36.0, 1872232.0)	(37.0, 3286883.0)	(38.0, 9106708.0)	(39.0, 57137987.0)	(40.0, 6459642.0)
fastp | SRR35329988_1	(17.0, 2.0)	(18.0, 596.0)	(19.0, 7221.0)	(20.0, 29146.0)	(21.0, 56036.0)	(22.0, 80243.0)	(23.0, 103603.0)	(24.0, 129033.0)	(25.0, 156616.0)	(26.0, 186098.0)	(27.0, 214831.0)	(28.0, 246848.0)	(29.0, 284114.0)	(30.0, 320410.0)	(31.0, 375094.0)	(32.0, 443919.0)	(33.0, 534665.0)	(34.0, 696190.0)	(35.0, 925678.0)	(36.0, 1455893.0)	(37.0, 2463581.0)	(38.0, 6057971.0)	(39.0, 37203588.0)	(40.0, 9586306.0)
fastp | SRR35329988_2	(18.0, 4698.0)	(19.0, 26076.0)	(20.0, 67870.0)	(21.0, 104532.0)	(22.0, 133643.0)	(23.0, 159112.0)	(24.0, 182180.0)	(25.0, 205894.0)	(26.0, 227914.0)	(27.0, 248251.0)	(28.0, 274777.0)	(29.0, 305292.0)	(30.0, 337307.0)	(31.0, 390124.0)	(32.0, 454057.0)	(33.0, 546380.0)	(34.0, 715236.0)	(35.0, 962279.0)	(36.0, 1534953.0)	(37.0, 2632427.0)	(38.0, 7117523.0)	(39.0, 40618252.0)	(40.0, 4308905.0)	
fastp | SRR35329989_1	(18.0, 439.0)	(19.0, 6342.0)	(20.0, 26199.0)	(21.0, 50690.0)	(22.0, 73751.0)	(23.0, 96496.0)	(24.0, 120736.0)	(25.0, 146268.0)	(26.0, 175206.0)	(27.0, 202191.0)	(28.0, 233848.0)	(29.0, 267725.0)	(30.0, 304964.0)	(31.0, 356638.0)	(32.0, 422310.0)	(33.0, 511274.0)	(34.0, 672188.0)	(35.0, 910090.0)	(36.0, 1446432.0)	(37.0, 2461577.0)	(38.0, 6046806.0)	(39.0, 34801419.0)	(40.0, 9771208.0)	
fastp | SRR35329989_2	(17.0, 2.0)	(18.0, 4536.0)	(19.0, 25091.0)	(20.0, 63366.0)	(21.0, 98062.0)	(22.0, 123976.0)	(23.0, 148325.0)	(24.0, 169691.0)	(25.0, 191762.0)	(26.0, 212877.0)	(27.0, 231594.0)	(28.0, 255077.0)	(29.0, 282568.0)	(30.0, 313081.0)	(31.0, 360696.0)	(32.0, 420734.0)	(33.0, 503918.0)	(34.0, 660199.0)	(35.0, 888268.0)	(36.0, 1418012.0)	(37.0, 2448956.0)	(38.0, 6727347.0)	(39.0, 39051764.0)	(40.0, 4504895.0)
fastp | SRR35329990_1	(18.0, 561.0)	(19.0, 7180.0)	(20.0, 29874.0)	(21.0, 56934.0)	(22.0, 80493.0)	(23.0, 104002.0)	(24.0, 127081.0)	(25.0, 154142.0)	(26.0, 181664.0)	(27.0, 208961.0)	(28.0, 238026.0)	(29.0, 272734.0)	(30.0, 307089.0)	(31.0, 357528.0)	(32.0, 420931.0)	(33.0, 507037.0)	(34.0, 659313.0)	(35.0, 882639.0)	(36.0, 1376749.0)	(37.0, 2332090.0)	(38.0, 5718279.0)	(39.0, 34428086.0)	(40.0, 9875072.0)	
fastp | SRR35329990_2	(18.0, 4403.0)	(19.0, 24016.0)	(20.0, 61269.0)	(21.0, 94114.0)	(22.0, 119469.0)	(23.0, 142158.0)	(24.0, 164096.0)	(25.0, 185657.0)	(26.0, 207100.0)	(27.0, 224940.0)	(28.0, 247087.0)	(29.0, 276142.0)	(30.0, 305223.0)	(31.0, 351146.0)	(32.0, 409765.0)	(33.0, 492732.0)	(34.0, 643520.0)	(35.0, 860372.0)	(36.0, 1347841.0)	(37.0, 2291441.0)	(38.0, 6227357.0)	(39.0, 38236133.0)	(40.0, 5410484.0)	
fastp | SRR35329991_1	(17.0, 1.0)	(18.0, 697.0)	(19.0, 8450.0)	(20.0, 34955.0)	(21.0, 66696.0)	(22.0, 94753.0)	(23.0, 121028.0)	(24.0, 146976.0)	(25.0, 176235.0)	(26.0, 209128.0)	(27.0, 238809.0)	(28.0, 272543.0)	(29.0, 312590.0)	(30.0, 354835.0)	(31.0, 428754.0)	(32.0, 506968.0)	(33.0, 607258.0)	(34.0, 742210.0)	(35.0, 979954.0)	(36.0, 1543372.0)	(37.0, 2612507.0)	(38.0, 6410248.0)	(39.0, 38018890.0)	(40.0, 10914809.0)
fastp | SRR35329991_2	(17.0, 3.0)	(18.0, 4280.0)	(19.0, 23126.0)	(20.0, 59476.0)	(21.0, 92380.0)	(22.0, 118832.0)	(23.0, 145672.0)	(24.0, 168298.0)	(25.0, 191341.0)	(26.0, 214409.0)	(27.0, 235120.0)	(28.0, 260235.0)	(29.0, 291985.0)	(30.0, 325178.0)	(31.0, 376673.0)	(32.0, 440698.0)	(33.0, 529598.0)	(34.0, 693395.0)	(35.0, 936635.0)	(36.0, 1499203.0)	(37.0, 2617423.0)	(38.0, 7106381.0)	(39.0, 42676550.0)	(40.0, 5795775.0)
fastp | SRR35329992_1	(17.0, 1.0)	(18.0, 632.0)	(19.0, 8149.0)	(20.0, 33224.0)	(21.0, 63904.0)	(22.0, 91949.0)	(23.0, 120241.0)	(24.0, 150348.0)	(25.0, 183679.0)	(26.0, 219303.0)	(27.0, 253330.0)	(28.0, 291850.0)	(29.0, 334362.0)	(30.0, 379194.0)	(31.0, 443382.0)	(32.0, 522308.0)	(33.0, 629210.0)	(34.0, 823356.0)	(35.0, 1110679.0)	(36.0, 1762666.0)	(37.0, 2999020.0)	(38.0, 7454978.0)	(39.0, 46348175.0)	(40.0, 11820496.0)
fastp | SRR35329992_2	(17.0, 2.0)	(18.0, 5760.0)	(19.0, 32195.0)	(20.0, 83610.0)	(21.0, 129335.0)	(22.0, 163045.0)	(23.0, 194201.0)	(24.0, 222756.0)	(25.0, 252104.0)	(26.0, 278005.0)	(27.0, 302323.0)	(28.0, 334040.0)	(29.0, 369057.0)	(30.0, 408360.0)	(31.0, 470278.0)	(32.0, 548766.0)	(33.0, 659310.0)	(34.0, 862698.0)	(35.0, 1157947.0)	(36.0, 1839470.0)	(37.0, 3156490.0)	(38.0, 8525151.0)	(39.0, 50628040.0)	(40.0, 5421493.0)
fastp | SRR35329993_1	(17.0, 1.0)	(18.0, 799.0)	(19.0, 9663.0)	(20.0, 39013.0)	(21.0, 75003.0)	(22.0, 107894.0)	(23.0, 139360.0)	(24.0, 173534.0)	(25.0, 209565.0)	(26.0, 249137.0)	(27.0, 287981.0)	(28.0, 332067.0)	(29.0, 382705.0)	(30.0, 442267.0)	(31.0, 547910.0)	(32.0, 637164.0)	(33.0, 745437.0)	(34.0, 925038.0)	(35.0, 1231016.0)	(36.0, 1945545.0)	(37.0, 3304544.0)	(38.0, 8195904.0)	(39.0, 49670346.0)	(40.0, 12724786.0)
fastp | SRR35329993_2	(17.0, 4.0)	(18.0, 6625.0)	(19.0, 36789.0)	(20.0, 93667.0)	(21.0, 142950.0)	(22.0, 179696.0)	(23.0, 213451.0)	(24.0, 245759.0)	(25.0, 276099.0)	(26.0, 304515.0)	(27.0, 329525.0)	(28.0, 362156.0)	(29.0, 400776.0)	(30.0, 442286.0)	(31.0, 509525.0)	(32.0, 591298.0)	(33.0, 707790.0)	(34.0, 925602.0)	(35.0, 1239937.0)	(36.0, 1980815.0)	(37.0, 3427462.0)	(38.0, 9253146.0)	(39.0, 54488675.0)	(40.0, 6218131.0)
fastp | SRR35329994_1	(18.0, 543.0)	(19.0, 6790.0)	(20.0, 27784.0)	(21.0, 54719.0)	(22.0, 79313.0)	(23.0, 102821.0)	(24.0, 127697.0)	(25.0, 156288.0)	(26.0, 186249.0)	(27.0, 216306.0)	(28.0, 249728.0)	(29.0, 286868.0)	(30.0, 326063.0)	(31.0, 389416.0)	(32.0, 474970.0)	(33.0, 555697.0)	(34.0, 713706.0)	(35.0, 940515.0)	(36.0, 1481476.0)	(37.0, 2519245.0)	(38.0, 6165128.0)	(39.0, 37132722.0)	(40.0, 11260210.0)	
fastp | SRR35329994_2	(17.0, 1.0)	(18.0, 5163.0)	(19.0, 28003.0)	(20.0, 71221.0)	(21.0, 109133.0)	(22.0, 137577.0)	(23.0, 164434.0)	(24.0, 187548.0)	(25.0, 210634.0)	(26.0, 233990.0)	(27.0, 253911.0)	(28.0, 279004.0)	(29.0, 309543.0)	(30.0, 342121.0)	(31.0, 395145.0)	(32.0, 458933.0)	(33.0, 549456.0)	(34.0, 718302.0)	(35.0, 960353.0)	(36.0, 1527485.0)	(37.0, 2641143.0)	(38.0, 7119750.0)	(39.0, 41670352.0)	(40.0, 5081052.0)
fastp | SRR35329995_1	(18.0, 558.0)	(19.0, 7717.0)	(20.0, 32447.0)	(21.0, 62846.0)	(22.0, 89957.0)	(23.0, 115424.0)	(24.0, 142197.0)	(25.0, 171819.0)	(26.0, 204916.0)	(27.0, 234178.0)	(28.0, 266713.0)	(29.0, 306675.0)	(30.0, 345008.0)	(31.0, 403680.0)	(32.0, 479554.0)	(33.0, 575893.0)	(34.0, 751143.0)	(35.0, 998954.0)	(36.0, 1566688.0)	(37.0, 2655370.0)	(38.0, 6482956.0)	(39.0, 38535588.0)	(40.0, 11274140.0)	
fastp | SRR35329995_2	(17.0, 3.0)	(18.0, 4150.0)	(19.0, 24193.0)	(20.0, 63268.0)	(21.0, 98660.0)	(22.0, 126393.0)	(23.0, 152482.0)	(24.0, 176530.0)	(25.0, 200665.0)	(26.0, 223502.0)	(27.0, 244264.0)	(28.0, 269602.0)	(29.0, 301574.0)	(30.0, 332718.0)	(31.0, 384134.0)	(32.0, 450079.0)	(33.0, 540742.0)	(34.0, 708743.0)	(35.0, 957050.0)	(36.0, 1525421.0)	(37.0, 2647221.0)	(38.0, 7194402.0)	(39.0, 43870157.0)	(40.0, 5208468.0)
fastp | SRR35329996_1	(17.0, 3.0)	(18.0, 682.0)	(19.0, 8202.0)	(20.0, 35356.0)	(21.0, 69861.0)	(22.0, 97777.0)	(23.0, 123015.0)	(24.0, 147612.0)	(25.0, 176238.0)	(26.0, 205955.0)	(27.0, 234763.0)	(28.0, 269038.0)	(29.0, 306813.0)	(30.0, 350630.0)	(31.0, 424541.0)	(32.0, 499710.0)	(33.0, 587476.0)	(34.0, 763840.0)	(35.0, 1038070.0)	(36.0, 1673914.0)	(37.0, 2886454.0)	(38.0, 7253812.0)	(39.0, 38890314.0)	(40.0, 7044966.0)
fastp | SRR35329996_2	(17.0, 1.0)	(18.0, 2573.0)	(19.0, 13237.0)	(20.0, 34912.0)	(21.0, 56595.0)	(22.0, 76913.0)	(23.0, 96601.0)	(24.0, 115588.0)	(25.0, 134847.0)	(26.0, 154167.0)	(27.0, 171883.0)	(28.0, 194285.0)	(29.0, 221162.0)	(30.0, 250596.0)	(31.0, 296040.0)	(32.0, 351341.0)	(33.0, 432577.0)	(34.0, 578668.0)	(35.0, 798502.0)	(36.0, 1315286.0)	(37.0, 2379033.0)	(38.0, 6801910.0)	(39.0, 43038669.0)	(40.0, 5573656.0)
