Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
fastqc_fastp_trim | SRR30333757_1	(21.0, 6.0)	(22.0, 9.0)	(23.0, 414.0)	(24.0, 11428.0)	(25.0, 52775.0)	(26.0, 107821.0)	(27.0, 204690.0)	(28.0, 345731.0)	(29.0, 549149.0)	(30.0, 796827.0)	(31.0, 1115851.0)	(32.0, 1478504.0)	(33.0, 2049661.0)	(34.0, 3053068.0)	(35.0, 6445277.0)	(36.0, 26469117.0)	(37.0, 2267685.0)					
fastqc_fastp_trim | SRR30333757_2	(20.0, 3.0)	(21.0, 6.0)	(22.0, 38.0)	(23.0, 1938.0)	(24.0, 30652.0)	(25.0, 95815.0)	(26.0, 144338.0)	(27.0, 213602.0)	(28.0, 305438.0)	(29.0, 441570.0)	(30.0, 626369.0)	(31.0, 910706.0)	(32.0, 1327862.0)	(33.0, 2121274.0)	(34.0, 3851339.0)	(35.0, 9663326.0)	(36.0, 23312973.0)	(37.0, 1900764.0)				
fastqc_fastp_trim | SRR30333758_1	(22.0, 12.0)	(23.0, 465.0)	(24.0, 11785.0)	(25.0, 50039.0)	(26.0, 102602.0)	(27.0, 191940.0)	(28.0, 326064.0)	(29.0, 521327.0)	(30.0, 755521.0)	(31.0, 1062257.0)	(32.0, 1409876.0)	(33.0, 1955885.0)	(34.0, 2907421.0)	(35.0, 6140656.0)	(36.0, 22954821.0)	(37.0, 1717213.0)						
fastqc_fastp_trim | SRR30333758_2	(20.0, 2.0)	(21.0, 2.0)	(22.0, 55.0)	(23.0, 2395.0)	(24.0, 30566.0)	(25.0, 85140.0)	(26.0, 125331.0)	(27.0, 181775.0)	(28.0, 259551.0)	(29.0, 376072.0)	(30.0, 534064.0)	(31.0, 783190.0)	(32.0, 1150470.0)	(33.0, 1860236.0)	(34.0, 3406664.0)	(35.0, 8533052.0)	(36.0, 21089721.0)	(37.0, 1689598.0)				
fastqc_fastp_trim | SRR30333759_1	(21.0, 1.0)	(22.0, 16.0)	(23.0, 349.0)	(24.0, 8660.0)	(25.0, 38461.0)	(26.0, 79210.0)	(27.0, 153598.0)	(28.0, 268918.0)	(29.0, 446571.0)	(30.0, 678658.0)	(31.0, 986298.0)	(32.0, 1364788.0)	(33.0, 1951839.0)	(34.0, 2991902.0)	(35.0, 6458768.0)	(36.0, 25129798.0)	(37.0, 2025411.0)					
fastqc_fastp_trim | SRR30333759_2	(20.0, 1.0)	(21.0, 10.0)	(22.0, 31.0)	(23.0, 1384.0)	(24.0, 21450.0)	(25.0, 70486.0)	(26.0, 109116.0)	(27.0, 166248.0)	(28.0, 243919.0)	(29.0, 364319.0)	(30.0, 533250.0)	(31.0, 798686.0)	(32.0, 1203282.0)	(33.0, 1995999.0)	(34.0, 3760517.0)	(35.0, 9627466.0)	(36.0, 22064990.0)	(37.0, 1622092.0)				
fastqc_fastp_trim | SRR30333760_1	(21.0, 1.0)	(22.0, 12.0)	(23.0, 373.0)	(24.0, 8178.0)	(25.0, 37712.0)	(26.0, 79442.0)	(27.0, 150566.0)	(28.0, 258965.0)	(29.0, 415419.0)	(30.0, 605758.0)	(31.0, 849373.0)	(32.0, 1123404.0)	(33.0, 1549665.0)	(34.0, 2292986.0)	(35.0, 4917606.0)	(36.0, 25892008.0)	(37.0, 2456260.0)					
fastqc_fastp_trim | SRR30333760_2	(20.0, 2.0)	(21.0, 3.0)	(22.0, 38.0)	(23.0, 1817.0)	(24.0, 32504.0)	(25.0, 109702.0)	(26.0, 167651.0)	(27.0, 246324.0)	(28.0, 344070.0)	(29.0, 482348.0)	(30.0, 655323.0)	(31.0, 910612.0)	(32.0, 1263341.0)	(33.0, 1936484.0)	(34.0, 3479007.0)	(35.0, 9059274.0)	(36.0, 20527187.0)	(37.0, 1422041.0)				
fastqc_fastp_trim | SRR30333761_1	(20.0, 1.0)	(21.0, 1.0)	(22.0, 17.0)	(23.0, 534.0)	(24.0, 12729.0)	(25.0, 55549.0)	(26.0, 113677.0)	(27.0, 212924.0)	(28.0, 356539.0)	(29.0, 565404.0)	(30.0, 815093.0)	(31.0, 1130301.0)	(32.0, 1492224.0)	(33.0, 2045450.0)	(34.0, 3003678.0)	(35.0, 6185862.0)	(36.0, 23607336.0)	(37.0, 1979244.0)				
fastqc_fastp_trim | SRR30333761_2	(20.0, 1.0)	(21.0, 5.0)	(22.0, 51.0)	(23.0, 1894.0)	(24.0, 26646.0)	(25.0, 85255.0)	(26.0, 126864.0)	(27.0, 183143.0)	(28.0, 258246.0)	(29.0, 370645.0)	(30.0, 524945.0)	(31.0, 761717.0)	(32.0, 1114380.0)	(33.0, 1784021.0)	(34.0, 3248976.0)	(35.0, 8388640.0)	(36.0, 22590436.0)	(37.0, 2110698.0)				
fastqc_fastp_trim | SRR30333762_1	(21.0, 1.0)	(22.0, 9.0)	(23.0, 301.0)	(24.0, 8657.0)	(25.0, 39772.0)	(26.0, 83018.0)	(27.0, 157104.0)	(28.0, 270217.0)	(29.0, 430799.0)	(30.0, 629665.0)	(31.0, 880293.0)	(32.0, 1162552.0)	(33.0, 1604069.0)	(34.0, 2380564.0)	(35.0, 5190097.0)	(36.0, 25180115.0)	(37.0, 2148303.0)					
fastqc_fastp_trim | SRR30333762_2	(20.0, 3.0)	(21.0, 5.0)	(22.0, 34.0)	(23.0, 1778.0)	(24.0, 29996.0)	(25.0, 100097.0)	(26.0, 150217.0)	(27.0, 217789.0)	(28.0, 304240.0)	(29.0, 426589.0)	(30.0, 585922.0)	(31.0, 823136.0)	(32.0, 1156147.0)	(33.0, 1795274.0)	(34.0, 3222343.0)	(35.0, 8414485.0)	(36.0, 21275745.0)	(37.0, 1661736.0)				
fastqc_fastp_trim | SRR30333763_1	(22.0, 7.0)	(23.0, 240.0)	(24.0, 6655.0)	(25.0, 33195.0)	(26.0, 71133.0)	(27.0, 138047.0)	(28.0, 240597.0)	(29.0, 386960.0)	(30.0, 565081.0)	(31.0, 791884.0)	(32.0, 1048590.0)	(33.0, 1439281.0)	(34.0, 2125838.0)	(35.0, 4648241.0)	(36.0, 28163649.0)	(37.0, 2892609.0)						
fastqc_fastp_trim | SRR30333763_2	(20.0, 1.0)	(21.0, 8.0)	(22.0, 57.0)	(23.0, 2163.0)	(24.0, 33780.0)	(25.0, 109059.0)	(26.0, 162439.0)	(27.0, 237133.0)	(28.0, 329226.0)	(29.0, 459680.0)	(30.0, 621998.0)	(31.0, 858527.0)	(32.0, 1178599.0)	(33.0, 1791427.0)	(34.0, 3207895.0)	(35.0, 8853236.0)	(36.0, 22968671.0)	(37.0, 1738108.0)				
fastqc_fastp_trim | SRR30333764_1	(21.0, 2.0)	(22.0, 7.0)	(23.0, 318.0)	(24.0, 7611.0)	(25.0, 35465.0)	(26.0, 73858.0)	(27.0, 141258.0)	(28.0, 242882.0)	(29.0, 392840.0)	(30.0, 577281.0)	(31.0, 816038.0)	(32.0, 1090472.0)	(33.0, 1513822.0)	(34.0, 2250064.0)	(35.0, 4820027.0)	(36.0, 25757984.0)	(37.0, 2547655.0)					
fastqc_fastp_trim | SRR30333764_2	(21.0, 5.0)	(22.0, 46.0)	(23.0, 1710.0)	(24.0, 26794.0)	(25.0, 86369.0)	(26.0, 131593.0)	(27.0, 194811.0)	(28.0, 277086.0)	(29.0, 398341.0)	(30.0, 554961.0)	(31.0, 788868.0)	(32.0, 1118964.0)	(33.0, 1752375.0)	(34.0, 3189998.0)	(35.0, 8594120.0)	(36.0, 21529553.0)	(37.0, 1621990.0)					
fastqc_fastp_trim | SRR30333765_1	(21.0, 2.0)	(22.0, 13.0)	(23.0, 412.0)	(24.0, 10931.0)	(25.0, 49332.0)	(26.0, 100707.0)	(27.0, 190114.0)	(28.0, 326418.0)	(29.0, 525571.0)	(30.0, 768880.0)	(31.0, 1089136.0)	(32.0, 1453910.0)	(33.0, 2011591.0)	(34.0, 2970625.0)	(35.0, 6151042.0)	(36.0, 22750402.0)	(37.0, 1692858.0)					
fastqc_fastp_trim | SRR30333765_2	(20.0, 2.0)	(21.0, 4.0)	(22.0, 47.0)	(23.0, 1790.0)	(24.0, 27603.0)	(25.0, 85170.0)	(26.0, 128010.0)	(27.0, 190692.0)	(28.0, 273795.0)	(29.0, 398098.0)	(30.0, 569548.0)	(31.0, 833761.0)	(32.0, 1219779.0)	(33.0, 1956218.0)	(34.0, 3530279.0)	(35.0, 8707851.0)	(36.0, 20462626.0)	(37.0, 1706671.0)				
fastqc_fastp_trim | SRR30333766_1	(21.0, 3.0)	(22.0, 14.0)	(23.0, 302.0)	(24.0, 8384.0)	(25.0, 39388.0)	(26.0, 82967.0)	(27.0, 157238.0)	(28.0, 269049.0)	(29.0, 432032.0)	(30.0, 628792.0)	(31.0, 882345.0)	(32.0, 1169937.0)	(33.0, 1609111.0)	(34.0, 2374811.0)	(35.0, 5062600.0)	(36.0, 28858741.0)	(37.0, 3121389.0)					
fastqc_fastp_trim | SRR30333766_2	(20.0, 2.0)	(21.0, 6.0)	(22.0, 67.0)	(23.0, 2293.0)	(24.0, 33091.0)	(25.0, 103862.0)	(26.0, 154044.0)	(27.0, 222495.0)	(28.0, 312226.0)	(29.0, 440559.0)	(30.0, 604235.0)	(31.0, 848723.0)	(32.0, 1193611.0)	(33.0, 1845779.0)	(34.0, 3350004.0)	(35.0, 9246464.0)	(36.0, 24536132.0)	(37.0, 1803510.0)				
fastqc_fastp_trim | SRR30333767_1	(20.0, 1.0)	(21.0, 2.0)	(22.0, 16.0)	(23.0, 424.0)	(24.0, 10007.0)	(25.0, 45014.0)	(26.0, 93183.0)	(27.0, 174162.0)	(28.0, 293377.0)	(29.0, 464097.0)	(30.0, 668249.0)	(31.0, 927640.0)	(32.0, 1221853.0)	(33.0, 1671938.0)	(34.0, 2460354.0)	(35.0, 5269546.0)	(36.0, 26128094.0)	(37.0, 2339171.0)				
fastqc_fastp_trim | SRR30333767_2	(20.0, 1.0)	(21.0, 8.0)	(22.0, 39.0)	(23.0, 2120.0)	(24.0, 34325.0)	(25.0, 108584.0)	(26.0, 160474.0)	(27.0, 233051.0)	(28.0, 324450.0)	(29.0, 455847.0)	(30.0, 624790.0)	(31.0, 875713.0)	(32.0, 1229220.0)	(33.0, 1903002.0)	(34.0, 3411901.0)	(35.0, 8949124.0)	(36.0, 21813194.0)	(37.0, 1641285.0)				
fastqc_fastp_trim | SRR30333768_1	(21.0, 1.0)	(22.0, 17.0)	(23.0, 629.0)	(24.0, 15334.0)	(25.0, 65389.0)	(26.0, 128007.0)	(27.0, 230251.0)	(28.0, 376328.0)	(29.0, 582009.0)	(30.0, 825607.0)	(31.0, 1131302.0)	(32.0, 1481378.0)	(33.0, 2024103.0)	(34.0, 2985760.0)	(35.0, 6230061.0)	(36.0, 23225460.0)	(37.0, 1826567.0)					
fastqc_fastp_trim | SRR30333768_2	(20.0, 3.0)	(21.0, 9.0)	(22.0, 47.0)	(23.0, 2731.0)	(24.0, 42048.0)	(25.0, 128364.0)	(26.0, 185560.0)	(27.0, 264068.0)	(28.0, 362000.0)	(29.0, 501046.0)	(30.0, 683265.0)	(31.0, 958888.0)	(32.0, 1358118.0)	(33.0, 2115417.0)	(34.0, 3725181.0)	(35.0, 8839368.0)	(36.0, 20077479.0)	(37.0, 1884611.0)				
