Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
fastqc_fastp_trim | SRR30333748_1	(15, 631.0)	(20, 469.0)	(25, 524.0)	(30, 2167.0)	(35, 4081.0)	(40, 7233.0)	(45, 12994.0)	(50, 20753.0)	(55, 29973.0)	(60, 49355.0)	(65, 75334.0)	(70, 123967.0)	(75, 198445.0)	(80, 314712.0)	(85, 494783.0)	(90, 734906.0)	(95, 1049932.0)	(100, 1399368.0)	(105, 1767053.0)	(110, 2077992.0)	(115, 2344514.0)	(120, 2509947.0)	(125, 2592185.0)	(130, 2628671.0)	(135, 2600378.0)	(140, 2543759.0)	(145, 2470207.0)	(150, 36982627.0)
fastqc_fastp_trim | SRR30333748_2	(15, 434.0)	(20, 486.0)	(25, 373.0)	(30, 2255.0)	(35, 4243.0)	(40, 7412.0)	(45, 13208.0)	(50, 20984.0)	(55, 30196.0)	(60, 49556.0)	(65, 75597.0)	(70, 124089.0)	(75, 198331.0)	(80, 314228.0)	(85, 493877.0)	(90, 733409.0)	(95, 1047076.0)	(100, 1395169.0)	(105, 1760823.0)	(110, 2069374.0)	(115, 2334207.0)	(120, 2498519.0)	(125, 2579084.0)	(130, 2615044.0)	(135, 2587833.0)	(140, 2518413.0)	(145, 2428108.0)	(150, 37134632.0)
fastqc_fastp_trim | SRR30333749_1	(15, 192.0)	(20, 211.0)	(25, 256.0)	(30, 1149.0)	(35, 2022.0)	(40, 3863.0)	(45, 6581.0)	(50, 10809.0)	(55, 15311.0)	(60, 25824.0)	(65, 39263.0)	(70, 65474.0)	(75, 106169.0)	(80, 172754.0)	(85, 282502.0)	(90, 433500.0)	(95, 640587.0)	(100, 878735.0)	(105, 1147168.0)	(110, 1389668.0)	(115, 1608788.0)	(120, 1781165.0)	(125, 1914799.0)	(130, 2008294.0)	(135, 2048932.0)	(140, 2086993.0)	(145, 2100740.0)	(150, 32883230.0)
fastqc_fastp_trim | SRR30333749_2	(15, 276.0)	(20, 283.0)	(25, 242.0)	(30, 1249.0)	(35, 2159.0)	(40, 3990.0)	(45, 6700.0)	(50, 10978.0)	(55, 15473.0)	(60, 25955.0)	(65, 39434.0)	(70, 65569.0)	(75, 106135.0)	(80, 172415.0)	(85, 281866.0)	(90, 432235.0)	(95, 638316.0)	(100, 875449.0)	(105, 1142206.0)	(110, 1382845.0)	(115, 1600214.0)	(120, 1771149.0)	(125, 1903160.0)	(130, 1995730.0)	(135, 2036394.0)	(140, 2063272.0)	(145, 2062207.0)	(150, 33019078.0)
fastqc_fastp_trim | SRR30333750_1	(15, 490.0)	(20, 407.0)	(25, 616.0)	(30, 2200.0)	(35, 4766.0)	(40, 9891.0)	(45, 15997.0)	(50, 29643.0)	(55, 40691.0)	(60, 69040.0)	(65, 97293.0)	(70, 152021.0)	(75, 227937.0)	(80, 340543.0)	(85, 508986.0)	(90, 724130.0)	(95, 1000851.0)	(100, 1298349.0)	(105, 1606674.0)	(110, 1872730.0)	(115, 2091519.0)	(120, 2228531.0)	(125, 2292813.0)	(130, 2308170.0)	(135, 2262587.0)	(140, 2195011.0)	(145, 2106780.0)	(150, 28201673.0)
fastqc_fastp_trim | SRR30333750_2	(15, 381.0)	(20, 364.0)	(25, 293.0)	(30, 2150.0)	(35, 4882.0)	(40, 10022.0)	(45, 16129.0)	(50, 29835.0)	(55, 40898.0)	(60, 69196.0)	(65, 97489.0)	(70, 152091.0)	(75, 227830.0)	(80, 340143.0)	(85, 508261.0)	(90, 722875.0)	(95, 998723.0)	(100, 1295238.0)	(105, 1601947.0)	(110, 1866208.0)	(115, 2083331.0)	(120, 2219508.0)	(125, 2282729.0)	(130, 2297559.0)	(135, 2252494.0)	(140, 2175048.0)	(145, 2073727.0)	(150, 28320988.0)
fastqc_fastp_trim | SRR30333751_1	(15, 534.0)	(20, 393.0)	(25, 611.0)	(30, 2156.0)	(35, 4887.0)	(40, 9670.0)	(45, 16229.0)	(50, 27954.0)	(55, 38921.0)	(60, 64582.0)	(65, 93582.0)	(70, 147750.0)	(75, 228531.0)	(80, 350999.0)	(85, 539148.0)	(90, 781046.0)	(95, 1094273.0)	(100, 1434563.0)	(105, 1784938.0)	(110, 2075911.0)	(115, 2310575.0)	(120, 2452540.0)	(125, 2509663.0)	(130, 2511573.0)	(135, 2449648.0)	(140, 2368017.0)	(145, 2262257.0)	(150, 27916863.0)
fastqc_fastp_trim | SRR30333751_2	(15, 413.0)	(20, 407.0)	(25, 350.0)	(30, 2129.0)	(35, 5064.0)	(40, 9874.0)	(45, 16423.0)	(50, 28208.0)	(55, 39147.0)	(60, 64821.0)	(65, 93805.0)	(70, 147836.0)	(75, 228451.0)	(80, 350600.0)	(85, 538458.0)	(90, 779776.0)	(95, 1091894.0)	(100, 1431088.0)	(105, 1779681.0)	(110, 2068756.0)	(115, 2301851.0)	(120, 2442824.0)	(125, 2498675.0)	(130, 2500277.0)	(135, 2439118.0)	(140, 2347931.0)	(145, 2230051.0)	(150, 28039906.0)
fastqc_fastp_trim | SRR30333752_1	(15, 603.0)	(20, 478.0)	(25, 644.0)	(30, 2283.0)	(35, 5179.0)	(40, 10123.0)	(45, 16957.0)	(50, 27209.0)	(55, 37625.0)	(60, 59873.0)	(65, 85233.0)	(70, 133778.0)	(75, 205077.0)	(80, 314663.0)	(85, 481485.0)	(90, 702178.0)	(95, 989627.0)	(100, 1311337.0)	(105, 1651818.0)	(110, 1943646.0)	(115, 2189547.0)	(120, 2342048.0)	(125, 2422319.0)	(130, 2455156.0)	(135, 2414153.0)	(140, 2360799.0)	(145, 2280760.0)	(150, 33121618.0)
fastqc_fastp_trim | SRR30333752_2	(15, 412.0)	(20, 398.0)	(25, 315.0)	(30, 2250.0)	(35, 5331.0)	(40, 10285.0)	(45, 17118.0)	(50, 27421.0)	(55, 37883.0)	(60, 60039.0)	(65, 85438.0)	(70, 133897.0)	(75, 204981.0)	(80, 314274.0)	(85, 480833.0)	(90, 700984.0)	(95, 987476.0)	(100, 1308181.0)	(105, 1646889.0)	(110, 1936607.0)	(115, 2180697.0)	(120, 2332387.0)	(125, 2411208.0)	(130, 2444030.0)	(135, 2403703.0)	(140, 2338336.0)	(145, 2243056.0)	(150, 33251787.0)
fastqc_fastp_trim | SRR30333753_1	(15, 401.0)	(20, 329.0)	(25, 600.0)	(30, 1916.0)	(35, 4546.0)	(40, 9386.0)	(45, 14393.0)	(50, 27669.0)	(55, 39984.0)	(60, 69904.0)	(65, 101365.0)	(70, 161813.0)	(75, 250285.0)	(80, 381719.0)	(85, 580113.0)	(90, 828717.0)	(95, 1136911.0)	(100, 1455584.0)	(105, 1764805.0)	(110, 2002369.0)	(115, 2173822.0)	(120, 2236316.0)	(125, 2217814.0)	(130, 2152484.0)	(135, 2033905.0)	(140, 1894474.0)	(145, 1747996.0)	(150, 15574739.0)
fastqc_fastp_trim | SRR30333753_2	(15, 374.0)	(20, 390.0)	(25, 267.0)	(30, 1827.0)	(35, 4633.0)	(40, 9414.0)	(45, 14473.0)	(50, 27793.0)	(55, 40078.0)	(60, 69942.0)	(65, 101397.0)	(70, 161764.0)	(75, 249919.0)	(80, 381039.0)	(85, 578867.0)	(90, 826667.0)	(95, 1133497.0)	(100, 1450879.0)	(105, 1758236.0)	(110, 1993604.0)	(115, 2163459.0)	(120, 2225161.0)	(125, 2205564.0)	(130, 2140247.0)	(135, 2022741.0)	(140, 1878823.0)	(145, 1728765.0)	(150, 15694539.0)
fastqc_fastp_trim | SRR30333754_1	(15, 461.0)	(20, 423.0)	(25, 734.0)	(30, 2621.0)	(35, 6210.0)	(40, 12680.0)	(45, 19700.0)	(50, 35258.0)	(55, 49824.0)	(60, 84665.0)	(65, 123343.0)	(70, 196003.0)	(75, 306412.0)	(80, 469177.0)	(85, 718400.0)	(90, 1033587.0)	(95, 1422581.0)	(100, 1819854.0)	(105, 2196487.0)	(110, 2480219.0)	(115, 2672262.0)	(120, 2716477.0)	(125, 2680687.0)	(130, 2576430.0)	(135, 2425978.0)	(140, 2243619.0)	(145, 2070726.0)	(150, 20435157.0)
fastqc_fastp_trim | SRR30333754_2	(15, 453.0)	(20, 467.0)	(25, 331.0)	(30, 2498.0)	(35, 6318.0)	(40, 12785.0)	(45, 19823.0)	(50, 35411.0)	(55, 49954.0)	(60, 84804.0)	(65, 123416.0)	(70, 196028.0)	(75, 306204.0)	(80, 468456.0)	(85, 717096.0)	(90, 1031437.0)	(95, 1418907.0)	(100, 1814507.0)	(105, 2189318.0)	(110, 2470580.0)	(115, 2660479.0)	(120, 2704164.0)	(125, 2667244.0)	(130, 2563022.0)	(135, 2414031.0)	(140, 2225929.0)	(145, 2046217.0)	(150, 20570096.0)
fastqc_fastp_trim | SRR30333755_1	(15, 382.0)	(20, 323.0)	(25, 932.0)	(30, 3380.0)	(35, 8578.0)	(40, 16137.0)	(45, 24282.0)	(50, 41287.0)	(55, 55840.0)	(60, 87158.0)	(65, 120922.0)	(70, 182950.0)	(75, 275553.0)	(80, 410574.0)	(85, 620065.0)	(90, 880908.0)	(95, 1214053.0)	(100, 1547386.0)	(105, 1872143.0)	(110, 2106885.0)	(115, 2260272.0)	(120, 2292119.0)	(125, 2243357.0)	(130, 2137399.0)	(135, 1983360.0)	(140, 1825295.0)	(145, 1659783.0)	(150, 14702180.0)
fastqc_fastp_trim | SRR30333755_2	(15, 327.0)	(20, 309.0)	(25, 249.0)	(30, 3126.0)	(35, 8673.0)	(40, 16160.0)	(45, 24354.0)	(50, 41410.0)	(55, 55963.0)	(60, 87192.0)	(65, 120921.0)	(70, 182893.0)	(75, 275216.0)	(80, 409773.0)	(85, 618569.0)	(90, 878524.0)	(95, 1210123.0)	(100, 1542203.0)	(105, 1864757.0)	(110, 2097113.0)	(115, 2248614.0)	(120, 2279820.0)	(125, 2230222.0)	(130, 2124023.0)	(135, 1971631.0)	(140, 1809620.0)	(145, 1641460.0)	(150, 14830258.0)
fastqc_fastp_trim | SRR30333756_1	(15, 376.0)	(20, 311.0)	(25, 276.0)	(30, 965.0)	(35, 1665.0)	(40, 2977.0)	(45, 5135.0)	(50, 8722.0)	(55, 12579.0)	(60, 22191.0)	(65, 34610.0)	(70, 59028.0)	(75, 100221.0)	(80, 167639.0)	(85, 283336.0)	(90, 456920.0)	(95, 700071.0)	(100, 1002323.0)	(105, 1342041.0)	(110, 1662462.0)	(115, 1957485.0)	(120, 2158078.0)	(125, 2280590.0)	(130, 2339001.0)	(135, 2326891.0)	(140, 2272009.0)	(145, 2188850.0)	(150, 26262514.0)
fastqc_fastp_trim | SRR30333756_2	(15, 483.0)	(20, 461.0)	(25, 331.0)	(30, 1074.0)	(35, 1814.0)	(40, 3071.0)	(45, 5296.0)	(50, 8935.0)	(55, 12799.0)	(60, 22414.0)	(65, 34848.0)	(70, 59271.0)	(75, 100267.0)	(80, 167503.0)	(85, 282997.0)	(90, 456026.0)	(95, 698352.0)	(100, 999376.0)	(105, 1337560.0)	(110, 1655841.0)	(115, 1948897.0)	(120, 2147924.0)	(125, 2268839.0)	(130, 2326821.0)	(135, 2315743.0)	(140, 2252165.0)	(145, 2158589.0)	(150, 26381569.0)
fastqc_fastp_trim | SRR30333757_1	(15, 72.0)	(20, 79.0)	(25, 197.0)	(30, 882.0)	(35, 1666.0)	(40, 3121.0)	(45, 5561.0)	(50, 9007.0)	(55, 14064.0)	(60, 23093.0)	(65, 36493.0)	(70, 60365.0)	(75, 98974.0)	(80, 158421.0)	(85, 251260.0)	(90, 382913.0)	(95, 563690.0)	(100, 785580.0)	(105, 1039709.0)	(110, 1298115.0)	(115, 1538194.0)	(120, 1735011.0)	(125, 1872235.0)	(130, 1962840.0)	(135, 1989929.0)	(140, 1989315.0)	(145, 1959338.0)	(150, 27167889.0)
fastqc_fastp_trim | SRR30333757_2	(15, 187.0)	(20, 183.0)	(25, 316.0)	(30, 1039.0)	(35, 1869.0)	(40, 3318.0)	(45, 5832.0)	(50, 9266.0)	(55, 14345.0)	(60, 23451.0)	(65, 36897.0)	(70, 60865.0)	(75, 99413.0)	(80, 158853.0)	(85, 251745.0)	(90, 383336.0)	(95, 563841.0)	(100, 785268.0)	(105, 1038858.0)	(110, 1296404.0)	(115, 1535817.0)	(120, 1731708.0)	(125, 1868561.0)	(130, 1959160.0)	(135, 1986545.0)	(140, 1988316.0)	(145, 1966251.0)	(150, 27176369.0)
fastqc_fastp_trim | SRR30333758_1	(15, 59.0)	(20, 65.0)	(25, 115.0)	(30, 569.0)	(35, 986.0)	(40, 1905.0)	(45, 3934.0)	(50, 6610.0)	(55, 10146.0)	(60, 17699.0)	(65, 28129.0)	(70, 49023.0)	(75, 81653.0)	(80, 134343.0)	(85, 219127.0)	(90, 333676.0)	(95, 491559.0)	(100, 668682.0)	(105, 869679.0)	(110, 1044402.0)	(115, 1203925.0)	(120, 1318884.0)	(125, 1397069.0)	(130, 1445518.0)	(135, 1450120.0)	(140, 1451301.0)	(145, 1441575.0)	(150, 26437131.0)
fastqc_fastp_trim | SRR30333758_2	(15, 135.0)	(20, 157.0)	(25, 207.0)	(30, 682.0)	(35, 1122.0)	(40, 2068.0)	(45, 4142.0)	(50, 6838.0)	(55, 10432.0)	(60, 17994.0)	(65, 28467.0)	(70, 49398.0)	(75, 82048.0)	(80, 134659.0)	(85, 219446.0)	(90, 333898.0)	(95, 491498.0)	(100, 668135.0)	(105, 868564.0)	(110, 1042626.0)	(115, 1201629.0)	(120, 1316176.0)	(125, 1393874.0)	(130, 1442576.0)	(135, 1447604.0)	(140, 1451183.0)	(145, 1448750.0)	(150, 26443576.0)
fastqc_fastp_trim | SRR30333759_1	(15, 64.0)	(20, 84.0)	(25, 153.0)	(30, 765.0)	(35, 1467.0)	(40, 2796.0)	(45, 5055.0)	(50, 8576.0)	(55, 13091.0)	(60, 21587.0)	(65, 34555.0)	(70, 57170.0)	(75, 93024.0)	(80, 148694.0)	(85, 236430.0)	(90, 359643.0)	(95, 529638.0)	(100, 738717.0)	(105, 981173.0)	(110, 1218015.0)	(115, 1445245.0)	(120, 1627110.0)	(125, 1757520.0)	(130, 1842221.0)	(135, 1864281.0)	(140, 1863967.0)	(145, 1843766.0)	(150, 25888439.0)
fastqc_fastp_trim | SRR30333759_2	(15, 176.0)	(20, 189.0)	(25, 290.0)	(30, 898.0)	(35, 1645.0)	(40, 2976.0)	(45, 5282.0)	(50, 8876.0)	(55, 13348.0)	(60, 21964.0)	(65, 34947.0)	(70, 57619.0)	(75, 93487.0)	(80, 149166.0)	(85, 236958.0)	(90, 360036.0)	(95, 529814.0)	(100, 738600.0)	(105, 980441.0)	(110, 1216635.0)	(115, 1443315.0)	(120, 1624397.0)	(125, 1754220.0)	(130, 1839038.0)	(135, 1861773.0)	(140, 1863647.0)	(145, 1848673.0)	(150, 25894836.0)
fastqc_fastp_trim | SRR30333760_1	(15, 66.0)	(20, 80.0)	(25, 152.0)	(30, 791.0)	(35, 1573.0)	(40, 2789.0)	(45, 4864.0)	(50, 7908.0)	(55, 12190.0)	(60, 19977.0)	(65, 31331.0)	(70, 51761.0)	(75, 82473.0)	(80, 132551.0)	(85, 210694.0)	(90, 323665.0)	(95, 477734.0)	(100, 669836.0)	(105, 898852.0)	(110, 1127489.0)	(115, 1351563.0)	(120, 1536997.0)	(125, 1670823.0)	(130, 1764206.0)	(135, 1796972.0)	(140, 1806876.0)	(145, 1788672.0)	(150, 24864843.0)
fastqc_fastp_trim | SRR30333760_2	(15, 154.0)	(20, 187.0)	(25, 262.0)	(30, 923.0)	(35, 1733.0)	(40, 2958.0)	(45, 5103.0)	(50, 8161.0)	(55, 12466.0)	(60, 20334.0)	(65, 31693.0)	(70, 52240.0)	(75, 82937.0)	(80, 133072.0)	(85, 211059.0)	(90, 323941.0)	(95, 477835.0)	(100, 669508.0)	(105, 897875.0)	(110, 1125651.0)	(115, 1349031.0)	(120, 1533428.0)	(125, 1666699.0)	(130, 1760108.0)	(135, 1793551.0)	(140, 1806469.0)	(145, 1794686.0)	(150, 24875664.0)
fastqc_fastp_trim | SRR30333761_1	(15, 72.0)	(20, 87.0)	(25, 293.0)	(30, 1223.0)	(35, 2572.0)	(40, 4716.0)	(45, 7680.0)	(50, 12996.0)	(55, 19018.0)	(60, 29941.0)	(65, 45704.0)	(70, 72682.0)	(75, 114213.0)	(80, 178687.0)	(85, 278501.0)	(90, 418604.0)	(95, 605672.0)	(100, 829467.0)	(105, 1083832.0)	(110, 1329070.0)	(115, 1559624.0)	(120, 1724615.0)	(125, 1841375.0)	(130, 1906854.0)	(135, 1915223.0)	(140, 1889024.0)	(145, 1850686.0)	(150, 23854132.0)
fastqc_fastp_trim | SRR30333761_2	(15, 195.0)	(20, 203.0)	(25, 424.0)	(30, 1396.0)	(35, 2804.0)	(40, 4962.0)	(45, 7954.0)	(50, 13308.0)	(55, 19377.0)	(60, 30345.0)	(65, 46181.0)	(70, 73224.0)	(75, 114770.0)	(80, 179218.0)	(85, 279010.0)	(90, 418954.0)	(95, 605787.0)	(100, 829147.0)	(105, 1082768.0)	(110, 1327157.0)	(115, 1557027.0)	(120, 1721121.0)	(125, 1837380.0)	(130, 1903051.0)	(135, 1911770.0)	(140, 1887513.0)	(145, 1855622.0)	(150, 23865895.0)
fastqc_fastp_trim | SRR30333762_1	(15, 77.0)	(20, 103.0)	(25, 182.0)	(30, 771.0)	(35, 1586.0)	(40, 2836.0)	(45, 5149.0)	(50, 8646.0)	(55, 13105.0)	(60, 21391.0)	(65, 33812.0)	(70, 56085.0)	(75, 90855.0)	(80, 144146.0)	(85, 230014.0)	(90, 349388.0)	(95, 512865.0)	(100, 710825.0)	(105, 939477.0)	(110, 1161904.0)	(115, 1369216.0)	(120, 1531291.0)	(125, 1644618.0)	(130, 1718265.0)	(135, 1735632.0)	(140, 1728708.0)	(145, 1711096.0)	(150, 24443493.0)
fastqc_fastp_trim | SRR30333762_2	(15, 176.0)	(20, 201.0)	(25, 329.0)	(30, 882.0)	(35, 1733.0)	(40, 3006.0)	(45, 5389.0)	(50, 8908.0)	(55, 13394.0)	(60, 21742.0)	(65, 34202.0)	(70, 56501.0)	(75, 91360.0)	(80, 144582.0)	(85, 230392.0)	(90, 349791.0)	(95, 513108.0)	(100, 710635.0)	(105, 938708.0)	(110, 1160438.0)	(115, 1367265.0)	(120, 1528591.0)	(125, 1641491.0)	(130, 1715198.0)	(135, 1733150.0)	(140, 1728546.0)	(145, 1716364.0)	(150, 24449454.0)
fastqc_fastp_trim | SRR30333763_1	(15, 117.0)	(20, 127.0)	(25, 250.0)	(30, 949.0)	(35, 1917.0)	(40, 3544.0)	(45, 6044.0)	(50, 10457.0)	(55, 15975.0)	(60, 26855.0)	(65, 42374.0)	(70, 70266.0)	(75, 113390.0)	(80, 181928.0)	(85, 286070.0)	(90, 430440.0)	(95, 623212.0)	(100, 851983.0)	(105, 1104471.0)	(110, 1340269.0)	(115, 1550144.0)	(120, 1710744.0)	(125, 1809110.0)	(130, 1869057.0)	(135, 1871669.0)	(140, 1853298.0)	(145, 1812595.0)	(150, 24964752.0)
fastqc_fastp_trim | SRR30333763_2	(15, 236.0)	(20, 235.0)	(25, 410.0)	(30, 1109.0)	(35, 2061.0)	(40, 3757.0)	(45, 6296.0)	(50, 10762.0)	(55, 16337.0)	(60, 27267.0)	(65, 42837.0)	(70, 70732.0)	(75, 113891.0)	(80, 182433.0)	(85, 286414.0)	(90, 430591.0)	(95, 623054.0)	(100, 851282.0)	(105, 1102935.0)	(110, 1337777.0)	(115, 1546857.0)	(120, 1706435.0)	(125, 1804153.0)	(130, 1864381.0)	(135, 1868124.0)	(140, 1851984.0)	(145, 1818652.0)	(150, 24981005.0)
fastqc_fastp_trim | SRR30333764_1	(15, 61.0)	(20, 96.0)	(25, 193.0)	(30, 921.0)	(35, 1916.0)	(40, 3515.0)	(45, 6059.0)	(50, 10088.0)	(55, 15145.0)	(60, 24852.0)	(65, 37441.0)	(70, 60373.0)	(75, 95400.0)	(80, 149351.0)	(85, 233585.0)	(90, 352555.0)	(95, 515279.0)	(100, 716316.0)	(105, 951396.0)	(110, 1189000.0)	(115, 1418169.0)	(120, 1602501.0)	(125, 1737957.0)	(130, 1827153.0)	(135, 1855417.0)	(140, 1853505.0)	(145, 1824964.0)	(150, 23784376.0)
fastqc_fastp_trim | SRR30333764_2	(15, 152.0)	(20, 187.0)	(25, 306.0)	(30, 1047.0)	(35, 2078.0)	(40, 3733.0)	(45, 6325.0)	(50, 10430.0)	(55, 15494.0)	(60, 25236.0)	(65, 37894.0)	(70, 60946.0)	(75, 95909.0)	(80, 149809.0)	(85, 234058.0)	(90, 352894.0)	(95, 515484.0)	(100, 715982.0)	(105, 950347.0)	(110, 1187317.0)	(115, 1415824.0)	(120, 1599236.0)	(125, 1734168.0)	(130, 1823216.0)	(135, 1852481.0)	(140, 1852941.0)	(145, 1830208.0)	(150, 23793882.0)
fastqc_fastp_trim | SRR30333765_1	(15, 78.0)	(20, 94.0)	(25, 200.0)	(30, 847.0)	(35, 1728.0)	(40, 3225.0)	(45, 5665.0)	(50, 9194.0)	(55, 14028.0)	(60, 22400.0)	(65, 34873.0)	(70, 56489.0)	(75, 89538.0)	(80, 142929.0)	(85, 224310.0)	(90, 338140.0)	(95, 496244.0)	(100, 690706.0)	(105, 917353.0)	(110, 1143614.0)	(115, 1363287.0)	(120, 1544223.0)	(125, 1670466.0)	(130, 1753978.0)	(135, 1783862.0)	(140, 1782238.0)	(145, 1760545.0)	(150, 24241690.0)
