Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
fastqc_fastp_trim | SRR30333760_1	65.26641497459073	49.0	140.80652461673054	151	18.181818181818183	40.637727999999996
fastqc_fastp_trim | SRR30333760_2	64.20995051412861	49.0	140.81001432954125	151	9.090909090909092	40.637727999999996
fastqc_fastp_trim | SRR30333761_1	62.62635758736682	49.0	139.26296671035556	151	18.181818181818183	41.576563
fastqc_fastp_trim | SRR30333761_2	64.08534869944819	49.0	139.26456032452705	151	9.090909090909092	41.576563
fastqc_fastp_trim | SRR30333762_1	65.20827185552258	49.0	140.45895662888702	151	18.181818181818183	40.165535999999996
fastqc_fastp_trim | SRR30333762_2	63.95610887951173	49.0	140.45888950666563	151	9.090909090909092	40.165535999999996
fastqc_fastp_trim | SRR30333763_1	65.75242141769985	49.0	139.5377062238216	151	18.181818181818183	42.552006999999996
fastqc_fastp_trim | SRR30333763_2	64.6644109368551	49.0	139.54417764595686	151	9.090909090909092	42.552006999999996
fastqc_fastp_trim | SRR30333764_1	64.5012781608374	49.0	140.09095633847812	151	18.181818181818183	40.267584
fastqc_fastp_trim | SRR30333764_2	63.872450169914295	49.0	140.0923448995599	151	9.090909090909092	40.267584
fastqc_fastp_trim | SRR30333765_1	61.98056832509559	49.0	140.47649206035007	151	18.181818181818183	40.091944
fastqc_fastp_trim | SRR30333765_2	62.89188590823507	49.0	140.476825917945	151	9.090909090909092	40.091944
fastqc_fastp_trim | SRR30333766_1	65.53488440650293	49.0	140.29527493090546	151	18.181818181818183	44.697103
fastqc_fastp_trim | SRR30333766_2	65.05505013361648	49.0	140.29834996241254	151	9.090909090909092	44.697103
fastqc_fastp_trim | SRR30333767_1	64.63496143204976	49.0	140.01400984525438	151	18.181818181818183	41.767128
fastqc_fastp_trim | SRR30333767_2	64.05361053067138	49.0	140.0173988022351	151	9.090909090909092	41.767128
fastqc_fastp_trim | SRR30333768_1	64.30254887687295	49.0	137.36296268524057	151	18.181818181818183	41.128203
fastqc_fastp_trim | SRR30333768_2	62.80513348627106	49.0	137.37311715272364	151	9.090909090909092	41.128203
