Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
fastp | SRR30333756_1	(19.0, 1.0)	(20.0, 857.0)	(21.0, 17033.0)	(22.0, 39209.0)	(23.0, 51860.0)	(24.0, 64879.0)	(25.0, 77146.0)	(26.0, 91611.0)	(27.0, 106734.0)	(28.0, 128040.0)	(29.0, 150382.0)	(30.0, 182771.0)	(31.0, 218754.0)	(32.0, 279034.0)	(33.0, 355487.0)	(34.0, 486711.0)	(35.0, 710321.0)	(36.0, 1208117.0)	(37.0, 2061518.0)	(38.0, 4895999.0)	(39.0, 27866446.0)	(40.0, 8685255.0)														
fastp | SRR30333756_2	(19.0, 14.0)	(20.0, 7260.0)	(21.0, 68834.0)	(22.0, 96929.0)	(23.0, 95696.0)	(24.0, 105592.0)	(25.0, 113309.0)	(26.0, 122860.0)	(27.0, 129339.0)	(28.0, 146204.0)	(29.0, 163349.0)	(30.0, 189356.0)	(31.0, 216228.0)	(32.0, 266384.0)	(33.0, 330655.0)	(34.0, 440222.0)	(35.0, 626596.0)	(36.0, 1052745.0)	(37.0, 1843070.0)	(38.0, 4573297.0)	(39.0, 27814456.0)	(40.0, 9275770.0)														
fastp | SRR30333757_1	(21.0, 4.0)	(22.0, 14.0)	(23.0, 394.0)	(24.0, 11087.0)	(25.0, 51266.0)	(26.0, 106203.0)	(27.0, 202679.0)	(28.0, 344267.0)	(29.0, 548435.0)	(30.0, 797470.0)	(31.0, 1117826.0)	(32.0, 1481084.0)	(33.0, 2052838.0)	(34.0, 3056996.0)	(35.0, 6450047.0)	(36.0, 26475456.0)	(37.0, 2267771.0)																			
fastp | SRR30333757_2	(20.0, 3.0)	(21.0, 5.0)	(22.0, 48.0)	(23.0, 1952.0)	(24.0, 30672.0)	(25.0, 94385.0)	(26.0, 142903.0)	(27.0, 212261.0)	(28.0, 304560.0)	(29.0, 441155.0)	(30.0, 626789.0)	(31.0, 911664.0)	(32.0, 1329618.0)	(33.0, 2124046.0)	(34.0, 3855549.0)	(35.0, 9669636.0)	(36.0, 23317903.0)	(37.0, 1900688.0)																		
fastp | SRR30333758_1	(22.0, 9.0)	(23.0, 443.0)	(24.0, 11464.0)	(25.0, 48551.0)	(26.0, 100906.0)	(27.0, 190028.0)	(28.0, 324256.0)	(29.0, 520652.0)	(30.0, 756282.0)	(31.0, 1063875.0)	(32.0, 1412469.0)	(33.0, 1958720.0)	(34.0, 2910888.0)	(35.0, 6145490.0)	(36.0, 22961160.0)	(37.0, 1717339.0)																				
fastp | SRR30333758_2	(20.0, 2.0)	(21.0, 2.0)	(22.0, 61.0)	(23.0, 2492.0)	(24.0, 30814.0)	(25.0, 84099.0)	(26.0, 124221.0)	(27.0, 180773.0)	(28.0, 258683.0)	(29.0, 375672.0)	(30.0, 534257.0)	(31.0, 784131.0)	(32.0, 1151963.0)	(33.0, 1862614.0)	(34.0, 3410453.0)	(35.0, 8538821.0)	(36.0, 21093925.0)	(37.0, 1689549.0)																		
fastp | SRR30333759_1	(21.0, 1.0)	(22.0, 10.0)	(23.0, 343.0)	(24.0, 8519.0)	(25.0, 37295.0)	(26.0, 77966.0)	(27.0, 151765.0)	(28.0, 267279.0)	(29.0, 445359.0)	(30.0, 678771.0)	(31.0, 987866.0)	(32.0, 1367003.0)	(33.0, 1954419.0)	(34.0, 2995449.0)	(35.0, 6463186.0)	(36.0, 25135307.0)	(37.0, 2025467.0)																			
fastp | SRR30333759_2	(20.0, 1.0)	(21.0, 8.0)	(22.0, 36.0)	(23.0, 1420.0)	(24.0, 21324.0)	(25.0, 69064.0)	(26.0, 107894.0)	(27.0, 164742.0)	(28.0, 242952.0)	(29.0, 363679.0)	(30.0, 533187.0)	(31.0, 799352.0)	(32.0, 1204535.0)	(33.0, 1998140.0)	(34.0, 3764389.0)	(35.0, 9633773.0)	(36.0, 22069490.0)	(37.0, 1622019.0)																		
fastp | SRR30333760_1	(21.0, 1.0)	(22.0, 15.0)	(23.0, 344.0)	(24.0, 8038.0)	(25.0, 36677.0)	(26.0, 78199.0)	(27.0, 149270.0)	(28.0, 258009.0)	(29.0, 414925.0)	(30.0, 606232.0)	(31.0, 850722.0)	(32.0, 1125518.0)	(33.0, 1551809.0)	(34.0, 2295587.0)	(35.0, 4921301.0)	(36.0, 25897325.0)	(37.0, 2456294.0)																			
fastp | SRR30333760_2	(20.0, 2.0)	(21.0, 2.0)	(22.0, 42.0)	(23.0, 1841.0)	(24.0, 32167.0)	(25.0, 107985.0)	(26.0, 166147.0)	(27.0, 245317.0)	(28.0, 343182.0)	(29.0, 482456.0)	(30.0, 655691.0)	(31.0, 911701.0)	(32.0, 1265060.0)	(33.0, 1938803.0)	(34.0, 3482198.0)	(35.0, 9064523.0)	(36.0, 20531188.0)	(37.0, 1421961.0)																		
fastp | SRR30333761_1	(21.0, 2.0)	(22.0, 15.0)	(23.0, 513.0)	(24.0, 12424.0)	(25.0, 54191.0)	(26.0, 111902.0)	(27.0, 211198.0)	(28.0, 355049.0)	(29.0, 564703.0)	(30.0, 815709.0)	(31.0, 1132316.0)	(32.0, 1495128.0)	(33.0, 2048390.0)	(34.0, 3006965.0)	(35.0, 6190345.0)	(36.0, 23612480.0)	(37.0, 1979219.0)																			
fastp | SRR30333761_2	(20.0, 1.0)	(21.0, 5.0)	(22.0, 53.0)	(23.0, 1935.0)	(24.0, 26624.0)	(25.0, 83981.0)	(26.0, 125703.0)	(27.0, 182359.0)	(28.0, 257301.0)	(29.0, 370576.0)	(30.0, 525310.0)	(31.0, 762479.0)	(32.0, 1115972.0)	(33.0, 1786448.0)	(34.0, 3252606.0)	(35.0, 8393918.0)	(36.0, 22594695.0)	(37.0, 2110583.0)																		
fastp | SRR30333762_1	(22.0, 11.0)	(23.0, 312.0)	(24.0, 8478.0)	(25.0, 38546.0)	(26.0, 81665.0)	(27.0, 155816.0)	(28.0, 268980.0)	(29.0, 430364.0)	(30.0, 630173.0)	(31.0, 881590.0)	(32.0, 1164717.0)	(33.0, 1606458.0)	(34.0, 2383368.0)	(35.0, 5193797.0)	(36.0, 25185345.0)	(37.0, 2148333.0)																				
fastp | SRR30333762_2	(20.0, 2.0)	(21.0, 5.0)	(22.0, 34.0)	(23.0, 1767.0)	(24.0, 29775.0)	(25.0, 98718.0)	(26.0, 148797.0)	(27.0, 216812.0)	(28.0, 303666.0)	(29.0, 426537.0)	(30.0, 586340.0)	(31.0, 823993.0)	(32.0, 1157805.0)	(33.0, 1797602.0)	(34.0, 3225552.0)	(35.0, 8419281.0)	(36.0, 21279643.0)	(37.0, 1661624.0)																		
fastp | SRR30333763_1	(22.0, 7.0)	(23.0, 231.0)	(24.0, 6492.0)	(25.0, 32212.0)	(26.0, 69876.0)	(27.0, 136929.0)	(28.0, 239605.0)	(29.0, 386716.0)	(30.0, 565605.0)	(31.0, 793001.0)	(32.0, 1050558.0)	(33.0, 1441442.0)	(34.0, 2128290.0)	(35.0, 4651905.0)	(36.0, 28169563.0)	(37.0, 2892664.0)																				
fastp | SRR30333763_2	(20.0, 1.0)	(21.0, 7.0)	(22.0, 58.0)	(23.0, 2212.0)	(24.0, 33787.0)	(25.0, 107617.0)	(26.0, 161303.0)	(27.0, 236294.0)	(28.0, 328450.0)	(29.0, 459756.0)	(30.0, 622536.0)	(31.0, 859491.0)	(32.0, 1180515.0)	(33.0, 1793710.0)	(34.0, 3210565.0)	(35.0, 8858025.0)	(36.0, 22972859.0)	(37.0, 1737910.0)																		
fastp | SRR30333764_1	(21.0, 2.0)	(22.0, 7.0)	(23.0, 298.0)	(24.0, 7415.0)	(25.0, 34495.0)	(26.0, 72786.0)	(27.0, 139783.0)	(28.0, 241923.0)	(29.0, 392294.0)	(30.0, 577644.0)	(31.0, 817145.0)	(32.0, 1092566.0)	(33.0, 1515855.0)	(34.0, 2252576.0)	(35.0, 4823704.0)	(36.0, 25763483.0)	(37.0, 2547754.0)																			
fastp | SRR30333764_2	(21.0, 3.0)	(22.0, 51.0)	(23.0, 1714.0)	(24.0, 26788.0)	(25.0, 85168.0)	(26.0, 130469.0)	(27.0, 193490.0)	(28.0, 276637.0)	(29.0, 398158.0)	(30.0, 555097.0)	(31.0, 789905.0)	(32.0, 1120529.0)	(33.0, 1754605.0)	(34.0, 3192849.0)	(35.0, 8598906.0)	(36.0, 21533439.0)	(37.0, 1621922.0)																			
fastp | SRR30333765_1	(21.0, 2.0)	(22.0, 13.0)	(23.0, 405.0)	(24.0, 10574.0)	(25.0, 48016.0)	(26.0, 98804.0)	(27.0, 188331.0)	(28.0, 325037.0)	(29.0, 524820.0)	(30.0, 769412.0)	(31.0, 1090542.0)	(32.0, 1456746.0)	(33.0, 2014600.0)	(34.0, 2974445.0)	(35.0, 6155560.0)	(36.0, 22756173.0)	(37.0, 1692870.0)																			
fastp | SRR30333765_2	(20.0, 2.0)	(21.0, 4.0)	(22.0, 45.0)	(23.0, 1831.0)	(24.0, 27511.0)	(25.0, 83631.0)	(26.0, 126767.0)	(27.0, 189579.0)	(28.0, 273061.0)	(29.0, 397791.0)	(30.0, 569664.0)	(31.0, 834550.0)	(32.0, 1221722.0)	(33.0, 1958828.0)	(34.0, 3534307.0)	(35.0, 8713629.0)	(36.0, 20466804.0)	(37.0, 1706624.0)																		
fastp | SRR30333766_1	(21.0, 3.0)	(22.0, 13.0)	(23.0, 279.0)	(24.0, 8204.0)	(25.0, 38386.0)	(26.0, 81741.0)	(27.0, 155914.0)	(28.0, 267993.0)	(29.0, 431521.0)	(30.0, 629385.0)	(31.0, 883809.0)	(32.0, 1172067.0)	(33.0, 1611635.0)	(34.0, 2377601.0)	(35.0, 5066374.0)	(36.0, 28864951.0)	(37.0, 3121552.0)																			
fastp | SRR30333766_2	(20.0, 2.0)	(21.0, 5.0)	(22.0, 69.0)	(23.0, 2348.0)	(24.0, 33172.0)	(25.0, 102637.0)	(26.0, 152952.0)	(27.0, 221353.0)	(28.0, 311721.0)	(29.0, 440509.0)	(30.0, 604528.0)	(31.0, 849678.0)	(32.0, 1195339.0)	(33.0, 1847750.0)	(34.0, 3353551.0)	(35.0, 9251772.0)	(36.0, 24540648.0)	(37.0, 1803394.0)																		
fastp | SRR30333767_1	(20.0, 1.0)	(21.0, 3.0)	(22.0, 15.0)	(23.0, 404.0)	(24.0, 9856.0)	(25.0, 43894.0)	(26.0, 91803.0)	(27.0, 172601.0)	(28.0, 292189.0)	(29.0, 463906.0)	(30.0, 668871.0)	(31.0, 929071.0)	(32.0, 1224029.0)	(33.0, 1674479.0)	(34.0, 2463426.0)	(35.0, 5273352.0)	(36.0, 26133733.0)	(37.0, 2339193.0)																		
fastp | SRR30333767_2	(20.0, 1.0)	(21.0, 6.0)	(22.0, 51.0)	(23.0, 2121.0)	(24.0, 34186.0)	(25.0, 107125.0)	(26.0, 159521.0)	(27.0, 232076.0)	(28.0, 324077.0)	(29.0, 455660.0)	(30.0, 625109.0)	(31.0, 876831.0)	(32.0, 1231081.0)	(33.0, 1905357.0)	(34.0, 3415059.0)	(35.0, 8954210.0)	(36.0, 21817205.0)	(37.0, 1641150.0)																		
fastp | SRR30333768_1	(21.0, 1.0)	(22.0, 15.0)	(23.0, 628.0)	(24.0, 14985.0)	(25.0, 64074.0)	(26.0, 126302.0)	(27.0, 228827.0)	(28.0, 375311.0)	(29.0, 581835.0)	(30.0, 826747.0)	(31.0, 1133239.0)	(32.0, 1484005.0)	(33.0, 2027091.0)	(34.0, 2989500.0)	(35.0, 6234551.0)	(36.0, 23231413.0)	(37.0, 1826607.0)																			
fastp | SRR30333768_2	(20.0, 2.0)	(21.0, 10.0)	(22.0, 57.0)	(23.0, 2781.0)	(24.0, 41958.0)	(25.0, 127163.0)	(26.0, 185088.0)	(27.0, 263364.0)	(28.0, 361744.0)	(29.0, 500971.0)	(30.0, 684032.0)	(31.0, 960250.0)	(32.0, 1360575.0)	(33.0, 2118093.0)	(34.0, 3729044.0)	(35.0, 8844545.0)	(36.0, 20080928.0)	(37.0, 1884526.0)																		
qc_bundle_trimmed | SRR30333743_1	(15.0, 2.0)	(16.0, 15.0)	(17.0, 432.0)	(18.0, 4961.0)	(19.0, 21770.0)	(20.0, 54548.0)	(21.0, 81525.0)	(22.0, 93276.0)	(23.0, 99705.0)	(24.0, 111959.0)	(25.0, 122661.0)	(26.0, 138272.0)	(27.0, 155906.0)	(28.0, 182843.0)	(29.0, 212552.0)	(30.0, 258690.0)	(31.0, 321750.0)	(32.0, 456172.0)	(33.0, 653321.0)	(34.0, 919400.0)	(35.0, 1242072.0)	(36.0, 1855266.0)	(37.0, 2916983.0)	(38.0, 6775056.0)	(39.0, 27999855.0)	(40.0, 5416827.0)										
