Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastp | SRR30333760_2	SRR30333760_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40650266.0	0.0	30-151	49.0	36.04630960696621	140.7716342126765	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastp | SRR30333761_1	SRR30333761_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41590549.0	0.0	30-151	49.0	37.7148292771136	139.23879098109524	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR30333761_2	SRR30333761_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41590549.0	0.0	30-151	49.0	36.27893956267887	139.22736001873886	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastp | SRR30333762_1	SRR30333762_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40177953.0	0.0	30-151	49.0	35.02470413473143	140.43786919657157	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR30333762_2	SRR30333762_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40177953.0	0.0	30-151	49.0	36.31460862396317	140.42234996392176	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastp | SRR30333763_1	SRR30333763_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42565096.0	0.0	30-151	49.0	34.56549611360785	139.51998090172285	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR30333763_2	SRR30333763_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42565096.0	0.0	30-151	49.0	35.673309350691625	139.5086074750072	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastp | SRR30333764_1	SRR30333764_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40279730.0	0.0	30-151	49.0	35.78935309133522	140.0716750087451	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR30333764_2	SRR30333764_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40279730.0	0.0	30-151	49.0	36.42188886599161	140.0568581517304	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastp | SRR30333765_1	SRR30333765_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40106350.0	0.0	30-151	49.0	38.27715707314744	140.45017973463055	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR30333765_2	SRR30333765_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40106350.0	0.0	30-151	49.0	37.387004501287144	140.4352149971264	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastp | SRR30333766_1	SRR30333766_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44711428.0	0.0	30-151	49.0	34.7009054934604	140.27669161002865	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR30333766_2	SRR30333766_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44711428.0	0.0	30-151	49.0	35.2060873888177	140.26202520304204	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastp | SRR30333767_1	SRR30333767_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41780826.0	0.0	30-151	49.0	35.677227533170566	139.99308094100388	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
