stage,report_id,Adapter Content,Basic Statistics,Overrepresented sequences,Per base N content,Per base sequence content,Per base sequence quality,Per sequence GC content,Per sequence quality scores,Per tile sequence quality,Sequence Duplication Levels,Sequence Length Distribution
trimmed,SRR35329984_1,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329984_1.fastp,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329984_2,pass,pass,warn,pass,fail,warn,pass,pass,fail,fail,warn
trimmed,SRR35329984_2.fastp,pass,pass,warn,pass,fail,warn,pass,pass,fail,fail,warn
trimmed,SRR35329985_1,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329985_1.fastp,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329985_2,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329985_2.fastp,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329986_1,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329986_1.fastp,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329986_2,pass,pass,pass,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329986_2.fastp,pass,pass,pass,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329987_1,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329987_1.fastp,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329987_2,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329987_2.fastp,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329988_1,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329988_1.fastp,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329988_2,pass,pass,pass,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329988_2.fastp,pass,pass,pass,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329989_1,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329989_1.fastp,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329989_2,pass,pass,pass,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329989_2.fastp,pass,pass,pass,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329990_1,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329990_1.fastp,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329990_2,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329990_2.fastp,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329991_1,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329991_1.fastp,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329991_2,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329991_2.fastp,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329992_1,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329992_1.fastp,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329992_2,pass,pass,pass,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329992_2.fastp,pass,pass,pass,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329993_1,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329993_1.fastp,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329993_2,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329993_2.fastp,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329994_1,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329994_1.fastp,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329994_2,pass,pass,warn,pass,fail,warn,pass,pass,fail,fail,warn
trimmed,SRR35329994_2.fastp,pass,pass,warn,pass,fail,warn,pass,pass,fail,fail,warn
trimmed,SRR35329995_1,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329995_1.fastp,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329995_2,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329995_2.fastp,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329996_1,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329996_1.fastp,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329996_2,pass,pass,warn,pass,fail,warn,pass,pass,fail,fail,warn
trimmed,SRR35329996_2.fastp,pass,pass,warn,pass,fail,warn,pass,pass,fail,fail,warn
