Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
fastp | SRR30333757_2	(1.0, 23.447591028110732)	(2.0, 10.07151330367585)	(3.0, 7.013182870784458)	(4.0, 5.1729498553142665)	(5.0, 4.209135861996736)	(6.0, 3.3159794647664094)	(7.0, 2.760782222871687)	(8.0, 2.301416240789095)	(9.0, 2.0518368016215005)	('>10', 23.217922504506284)	('>50', 5.740291437983594)	('>100', 7.718292364953204)	('>500', 1.7116432574142717)	('>1k', 1.2314597230323503)	('>5k', 0.03600306217955248)	('>10k+', 0.0)
fastp | SRR30333758_1	(1.0, 22.44731776599351)	(2.0, 10.417221615972124)	(3.0, 6.6536705303842005)	(4.0, 4.748172824396148)	(5.0, 3.865987788726276)	(6.0, 3.124360029303976)	(7.0, 2.667915491943663)	(8.0, 2.291863075449079)	(9.0, 1.942361355609994)	('>10', 23.313918827498316)	('>50', 6.1802609512830475)	('>100', 8.49962134459696)	('>500', 1.8433528939777042)	('>1k', 1.847225479600033)	('>5k', 0.15675002526501758)	('>10k+', 0.0)
fastp | SRR30333758_2	(1.0, 22.806883042867046)	(2.0, 10.68694087840158)	(3.0, 7.193259141688352)	(4.0, 5.412292739719425)	(5.0, 4.225805601431522)	(6.0, 3.4053250450475447)	(7.0, 2.7393128208153854)	(8.0, 2.349846608794114)	(9.0, 1.9536022468032206)	('>10', 22.58864534927451)	('>50', 5.6233520499519845)	('>100', 7.6982339045966315)	('>500', 1.7253121580265054)	('>1k', 1.5474359180185668)	('>5k', 0.04375249456340845)	('>10k+', 0.0)
fastp | SRR30333759_1	(1.0, 24.12563680729962)	(2.0, 9.555022079520205)	(3.0, 6.232440075021039)	(4.0, 4.646739566725161)	(5.0, 3.8222557261499355)	(6.0, 3.1685786654945947)	(7.0, 2.4754198470098405)	(8.0, 2.246483913725152)	(9.0, 1.9486942735385882)	('>10', 23.236712296353716)	('>50', 5.94882465061977)	('>100', 8.184489607104476)	('>500', 1.8800304157798289)	('>1k', 2.1892526349549564)	('>5k', 0.2567721876026271)	('>10k+', 0.08264725310038717)
fastp | SRR30333759_2	(1.0, 23.01110737286455)	(2.0, 10.450999706105225)	(3.0, 7.107820551450793)	(4.0, 5.283134611292425)	(5.0, 4.25438812701846)	(6.0, 3.468659948007159)	(7.0, 2.772465453805957)	(8.0, 2.3989794954682897)	(9.0, 2.121059509129201)	('>10', 22.52865131529332)	('>50', 5.4431983321763635)	('>100', 7.2639285454756415)	('>500', 1.7904849136902892)	('>1k', 2.0100983995509796)	('>5k', 0.09502371867132083)	('>10k+', 0.0)
fastp | SRR30333760_1	(1.0, 22.829964148324894)	(2.0, 10.064833165990414)	(3.0, 6.709536767674466)	(4.0, 4.901270717674806)	(5.0, 3.877658521116678)	(6.0, 3.259908112514197)	(7.0, 2.6500640223525083)	(8.0, 2.314565867270595)	(9.0, 1.9676649905389199)	('>10', 23.784884360873487)	('>50', 6.251222011166637)	('>100', 8.158892545685292)	('>500', 1.6026803416053355)	('>1k', 1.5404309130063791)	('>5k', 0.08642351420546437)	('>10k+', 0.0)
fastp | SRR30333760_2	(1.0, 23.04029414326269)	(2.0, 10.802706260874013)	(3.0, 7.366739743599586)	(4.0, 5.591618537861288)	(5.0, 4.301759713812939)	(6.0, 3.414594111256801)	(7.0, 2.816357222275284)	(8.0, 2.387874698205584)	(9.0, 2.05175185795282)	('>10', 22.901910649465595)	('>50', 5.459992891030187)	('>100', 7.157496291784643)	('>500', 1.5376680894151564)	('>1k', 1.1692357892034626)	('>5k', 0.0)	('>10k+', 0.0)
fastp | SRR30333761_1	(1.0, 25.992247551272484)	(2.0, 9.803997088392789)	(3.0, 6.450288623927028)	(4.0, 4.800280693641872)	(5.0, 3.7460170308405476)	(6.0, 3.1025339390143643)	(7.0, 2.5459136242544886)	(8.0, 2.218483005828925)	(9.0, 1.9312418031786305)	('>10', 22.293966631395687)	('>50', 5.661173858074083)	('>100', 7.635045904660507)	('>500', 1.7023450794453463)	('>1k', 1.9713404633530558)	('>5k', 0.14512470272019742)	('>10k+', 0.0)
fastp | SRR30333761_2	(1.0, 23.49735540426863)	(2.0, 10.70551549629792)	(3.0, 7.204099343666234)	(4.0, 5.423988042482496)	(5.0, 4.148482655952954)	(6.0, 3.2964613802474125)	(7.0, 2.8198396559441203)	(8.0, 2.287447043549404)	(9.0, 2.1226451301298295)	('>10', 22.360291108392047)	('>50', 5.388458318460616)	('>100', 7.234926514403599)	('>500', 1.7994805931325348)	('>1k', 1.6558375345169771)	('>5k', 0.05517177855529935)	('>10k+', 0.0)
fastp | SRR30333762_1	(1.0, 23.052695633166948)	(2.0, 10.024509846809705)	(3.0, 6.516200277956435)	(4.0, 4.862589272189237)	(5.0, 3.7549824617477663)	(6.0, 3.1454785475091813)	(7.0, 2.7303009908247065)	(8.0, 2.244802057364005)	(9.0, 1.9544903135398497)	('>10', 23.311951827985013)	('>50', 6.089247193919747)	('>100', 8.331668996282959)	('>500', 1.7763617478140172)	('>1k', 2.013147108751043)	('>5k', 0.16513526089535308)	('>10k+', 0.026438463243824997)
