Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
fastp | SRR30333755_1	(30, 3389.0)	(35, 8583.0)	(40, 16175.0)	(45, 24295.0)	(50, 41298.0)	(55, 55856.0)	(60, 87184.0)	(65, 120981.0)	(70, 183053.0)	(75, 275710.0)	(80, 410868.0)	(85, 620583.0)	(90, 881697.0)	(95, 1215193.0)	(100, 1549090.0)	(105, 1874020.0)	(110, 2109024.0)	(115, 2262882.0)	(120, 2295690.0)	(125, 2248621.0)	(130, 2146585.0)	(135, 2004389.0)	(140, 1889147.0)	(145, 1758289.0)	(150, 14519358.0)
fastp | SRR30333755_2	(30, 3166.0)	(35, 8713.0)	(40, 16231.0)	(45, 24409.0)	(50, 41473.0)	(55, 56059.0)	(60, 87300.0)	(65, 121076.0)	(70, 183071.0)	(75, 275439.0)	(80, 410125.0)	(85, 619042.0)	(90, 879032.0)	(95, 1210955.0)	(100, 1542955.0)	(105, 1866620.0)	(110, 2100049.0)	(115, 2253012.0)	(120, 2287026.0)	(125, 2242450.0)	(130, 2145599.0)	(135, 2012481.0)	(140, 1907915.0)	(145, 1771385.0)	(150, 14536377.0)
fastp | SRR30333756_1	(30, 956.0)	(35, 1681.0)	(40, 3028.0)	(45, 5147.0)	(50, 8739.0)	(55, 12590.0)	(60, 22206.0)	(65, 34646.0)	(70, 59093.0)	(75, 100313.0)	(80, 167751.0)	(85, 283598.0)	(90, 457520.0)	(95, 701081.0)	(100, 1003838.0)	(105, 1343917.0)	(110, 1664801.0)	(115, 1960447.0)	(120, 2162457.0)	(125, 2287387.0)	(130, 2351187.0)	(135, 2353904.0)	(140, 2351192.0)	(145, 2312859.0)	(150, 26027827.0)
fastp | SRR30333756_2	(30, 1121.0)	(35, 1889.0)	(40, 3209.0)	(45, 5390.0)	(50, 9049.0)	(55, 12933.0)	(60, 22569.0)	(65, 35079.0)	(70, 59610.0)	(75, 100655.0)	(80, 167990.0)	(85, 283738.0)	(90, 457010.0)	(95, 699838.0)	(100, 1001309.0)	(105, 1340388.0)	(110, 1660157.0)	(115, 1955238.0)	(120, 2158086.0)	(125, 2285812.0)	(130, 2355899.0)	(135, 2370255.0)	(140, 2390768.0)	(145, 2360404.0)	(150, 25939769.0)
fastp | SRR30333757_1	(30, 944.0)	(35, 1708.0)	(40, 3179.0)	(45, 5623.0)	(50, 9118.0)	(55, 14135.0)	(60, 23208.0)	(65, 36575.0)	(70, 60459.0)	(75, 99103.0)	(80, 158544.0)	(85, 251444.0)	(90, 383132.0)	(95, 564010.0)	(100, 785927.0)	(105, 1040145.0)	(110, 1298742.0)	(115, 1538879.0)	(120, 1736148.0)	(125, 1873831.0)	(130, 1965560.0)	(135, 1996125.0)	(140, 2021967.0)	(145, 2115206.0)	(150, 26980125.0)
fastp | SRR30333757_2	(30, 1189.0)	(35, 2028.0)	(40, 3523.0)	(45, 6040.0)	(50, 9512.0)	(55, 14608.0)	(60, 23712.0)	(65, 37179.0)	(70, 61187.0)	(75, 99777.0)	(80, 159240.0)	(85, 252215.0)	(90, 383807.0)	(95, 564430.0)	(100, 785886.0)	(105, 1039553.0)	(110, 1297399.0)	(115, 1537131.0)	(120, 1733668.0)	(125, 1871518.0)	(130, 1964131.0)	(135, 1996287.0)	(140, 2032974.0)	(145, 2171046.0)	(150, 26915797.0)
fastp | SRR30333758_1	(30, 620.0)	(35, 1021.0)	(40, 1963.0)	(45, 3971.0)	(50, 6680.0)	(55, 10209.0)	(60, 17765.0)	(65, 28204.0)	(70, 49089.0)	(75, 81755.0)	(80, 134466.0)	(85, 219297.0)	(90, 333875.0)	(95, 491843.0)	(100, 669034.0)	(105, 870052.0)	(110, 1044913.0)	(115, 1204534.0)	(120, 1319762.0)	(125, 1398483.0)	(130, 1447877.0)	(135, 1455572.0)	(140, 1481116.0)	(145, 1596092.0)	(150, 26254339.0)
fastp | SRR30333758_2	(30, 877.0)	(35, 1300.0)	(40, 2284.0)	(45, 4362.0)	(50, 7084.0)	(55, 10672.0)	(60, 18266.0)	(65, 28747.0)	(70, 49699.0)	(75, 82383.0)	(80, 135010.0)	(85, 219846.0)	(90, 334311.0)	(95, 491997.0)	(100, 668703.0)	(105, 869176.0)	(110, 1043518.0)	(115, 1202743.0)	(120, 1317920.0)	(125, 1396514.0)	(130, 1447083.0)	(135, 1455790.0)	(140, 1488836.0)	(145, 1629758.0)	(150, 26215653.0)
fastp | SRR30333759_1	(30, 830.0)	(35, 1505.0)	(40, 2849.0)	(45, 5119.0)	(50, 8670.0)	(55, 13158.0)	(60, 21686.0)	(65, 34632.0)	(70, 57243.0)	(75, 93135.0)	(80, 148825.0)	(85, 236574.0)	(90, 359837.0)	(95, 529897.0)	(100, 739054.0)	(105, 981544.0)	(110, 1218520.0)	(115, 1445866.0)	(120, 1627979.0)	(125, 1759000.0)	(130, 1844622.0)	(135, 1869920.0)	(140, 1891887.0)	(145, 1977973.0)	(150, 25725680.0)
fastp | SRR30333759_2	(30, 994.0)	(35, 1780.0)	(40, 3129.0)	(45, 5447.0)	(50, 9077.0)	(55, 13542.0)	(60, 22168.0)	(65, 35166.0)	(70, 57872.0)	(75, 93764.0)	(80, 149480.0)	(85, 237292.0)	(90, 360455.0)	(95, 530279.0)	(100, 739099.0)	(105, 981052.0)	(110, 1217480.0)	(115, 1444441.0)	(120, 1626041.0)	(125, 1756849.0)	(130, 1843646.0)	(135, 1870408.0)	(140, 1901467.0)	(145, 2026164.0)	(150, 25668913.0)
