Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
fastp | SRR30333756_2										72.49081488744501	52.0	138.82246445516517	151	18.181818181818183	47.678165
fastp | SRR30333757_1										64.2834558482114	49.0	140.4286050810121	151	18.181818181818183	44.963837
fastp | SRR30333757_2										64.16308052995237	49.0	140.4147481230305	151	9.090909090909092	44.963837
fastp | SRR30333758_1										65.34364997912647	49.0	141.57644188557194	151	18.181818181818183	40.122532
fastp | SRR30333758_2										64.40135364445118	49.0	141.565612334735	151	9.090909090909092	40.122532
fastp | SRR30333759_1										64.30824368303362	48.0	140.52031956987517	151	18.181818181818183	42.596005
fastp | SRR30333759_2										64.33373860970005	48.0	140.50681811592426	151	9.090909090909092	42.596005
fastp | SRR30333760_1										65.02299281693152	49.0	140.78637495262637	151	18.181818181818183	40.650265999999995
fastp | SRR30333760_2										63.95369039303379	49.0	140.7716342126765	151	9.090909090909092	40.650265999999995
fastp | SRR30333761_1										62.2851707228864	49.0	139.23879098109524	151	18.181818181818183	41.590548999999996
fastp | SRR30333761_2										63.72106043732113	49.0	139.22736001873886	151	9.090909090909092	41.590548999999996
fastp | SRR30333762_1										64.97529586526858	49.0	140.43786919657157	151	18.181818181818183	40.177952999999995
fastp | SRR30333762_2										63.68539137603683	49.0	140.42234996392176	151	9.090909090909092	40.177952999999995
fastp | SRR30333763_1										65.43450388639215	49.0	139.51998090172285	151	18.181818181818183	42.565096
fastp | SRR30333763_2										64.32669064930838	49.0	139.5086074750072	151	9.090909090909092	42.565096
fastp | SRR30333764_1										64.21064690866478	49.0	140.0716750087451	151	18.181818181818183	40.27973
fastp | SRR30333764_2										63.57811113400839	49.0	140.0568581517304	151	9.090909090909092	40.27973
fastp | SRR30333765_1										61.72284292685256	49.0	140.45017973463055	151	18.181818181818183	40.10635
fastp | SRR30333765_2										62.612995498712856	49.0	140.4352149971264	151	9.090909090909092	40.10635
fastp | SRR30333766_1										65.2990945065396	49.0	140.27669161002865	151	18.181818181818183	44.711428
fastp | SRR30333766_2										64.7939126111823	49.0	140.26202520304204	151	9.090909090909092	44.711428
fastp | SRR30333767_1										64.32277246682943	49.0	139.99308094100388	151	18.181818181818183	41.780826
fastp | SRR30333767_2										63.75995464369426	49.0	139.97980681377626	151	9.090909090909092	41.780826
fastp | SRR30333768_1										63.84381316877095	49.0	137.337458519697	151	18.181818181818183	41.145131
fastp | SRR30333768_2										62.35011808211372	49.0	137.33265838915423	151	9.090909090909092	41.145131
reports | SRR30333743	19.9265	94.56219999999999	11936.599466	96.952822	53.0952	96.76737893036542	61.05801763616241	151.0	151.0						
reports | SRR30333744	11.634799999999998	94.5825	11153.330861	87.132802	53.1975	96.21878624583596	51.23862050395379	151.0	151.0						
reports | SRR30333745	15.3363	94.54639999999999	11546.430331	92.02998199999999	53.3469	96.23871665400495	57.630002082261974	151.0	151.0						
reports | SRR30333746	11.1234	94.6787	10494.783359	82.188026	53.16459999999999	97.3421899996056	52.529376574564616	151.0	151.0						
reports | SRR30333747	7.299189999999999	94.0436	10217.384501999999	79.077716	51.7684	96.11538243504586	45.13638228364882	151.0	151.0						
reports | SRR30333748	11.4816	94.4725	16558.370952999998	126.152262	52.172200000000004	96.43247812699884	41.07086732819817	151.0	151.0						
reports | SRR30333749	43.9559	95.1725	13887.506845	103.380504	51.6433	96.77195856240817	36.28874496124591	151.0	151.0						
reports | SRR30333750	9.16798	94.5642	13426.601087	103.439904	52.046800000000005	97.69256815375721	45.41391333104729	151.0	151.0						
reports | SRR30333751	10.2265	94.74669999999999	13850.793657	107.019382	52.345200000000006	96.87655053615896	47.526093363463545	151.0	151.0						
reports | SRR30333752	9.509720000000002	94.4191	15059.424742	115.19537799999999	52.2004	97.06543736896272	42.325522510226406	151.0	151.0						
reports | SRR30333753	13.1182	94.0037	9643.385354	77.77806799999999	53.147200000000005	96.47068763702266	59.326491360015474	151.0	151.0						
