stage,report_id,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,pbq_min_10th,pbq_min_mean,adapter_max,deduplicated_pct,sample,read
trimmed,SRR30333746_2,SRR30333746_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42216035,0,88-151,53,24.0,35.88553497801475,40.78512347263309,35.493345479226285,SRR30333746,2
trimmed,SRR30333747_1,SRR30333747_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41136868,0,115-151,51,24.0,37.65873927499586,33.97511205763161,41.44198204299306,SRR30333747,1
trimmed,SRR30333747_2,SRR30333747_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41136868,0,80-151,52,24.0,35.928375578342674,34.05929931272357,41.222690402451654,SRR30333747,2
trimmed,SRR30333748_1,SRR30333748_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,65409634,0,124-151,52,24.0,37.53736103687855,30.731856717008995,34.688768667404574,SRR30333748,1
trimmed,SRR30333748_2,SRR30333748_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,65409634,0,73-151,53,24.0,36.395722083082674,30.84326996845755,34.54142592974324,SRR30333748,2
trimmed,SRR30333749_1,SRR30333749_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,53414494,0,107-151,51,40.0,38.1093490545645,26.273672086082104,23.467360972382345,SRR30333749,1
trimmed,SRR30333749_2,SRR30333749_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,53414494,0,38-151,52,24.0,36.57472306537717,26.260664380720335,22.570908881387485,SRR30333749,2
trimmed,SRR30333750_1,SRR30333750_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,52941542,0,121-151,52,24.0,37.27924607102574,34.80813800247828,37.84809371566401,SRR30333750,1
trimmed,SRR30333750_2,SRR30333750_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,52941542,0,79-151,52,24.0,36.16321689042978,34.91067185009458,36.954291966211265,SRR30333750,2
trimmed,SRR30333751_1,SRR30333751_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,55234926,0,120-151,52,24.0,37.28098890961034,36.24142992424757,36.66674194827691,SRR30333751,1
