stage,srr,module_key,module,status,severity_score
raw,SRR30333752,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333752,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333752,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333752,per_tile_sequence_quality,Per tile sequence quality,fail,3
raw,SRR30333752,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333752,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333753,adapter_content,Adapter Content,fail,3
raw,SRR30333753,basic_statistics,Basic Statistics,pass,0
raw,SRR30333753,overrepresented_sequences,Overrepresented sequences,warn,1
raw,SRR30333753,per_base_n_content,Per base N content,pass,0
raw,SRR30333753,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333753,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333753,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333753,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333753,per_tile_sequence_quality,Per tile sequence quality,fail,3
raw,SRR30333753,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333753,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333754,adapter_content,Adapter Content,fail,3
raw,SRR30333754,basic_statistics,Basic Statistics,pass,0
raw,SRR30333754,overrepresented_sequences,Overrepresented sequences,fail,3
raw,SRR30333754,per_base_n_content,Per base N content,pass,0
raw,SRR30333754,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333754,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333754,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333754,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333754,per_tile_sequence_quality,Per tile sequence quality,fail,3
raw,SRR30333754,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333754,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333755,adapter_content,Adapter Content,fail,3
raw,SRR30333755,basic_statistics,Basic Statistics,pass,0
raw,SRR30333755,overrepresented_sequences,Overrepresented sequences,warn,1
raw,SRR30333755,per_base_n_content,Per base N content,pass,0
raw,SRR30333755,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333755,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333755,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333755,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333755,per_tile_sequence_quality,Per tile sequence quality,fail,3
raw,SRR30333755,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333755,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333756,adapter_content,Adapter Content,fail,3
raw,SRR30333756,basic_statistics,Basic Statistics,pass,0
raw,SRR30333756,overrepresented_sequences,Overrepresented sequences,fail,3
raw,SRR30333756,per_base_n_content,Per base N content,pass,0
raw,SRR30333756,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333756,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333756,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333756,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333756,per_tile_sequence_quality,Per tile sequence quality,fail,3
raw,SRR30333756,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333756,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333757,adapter_content,Adapter Content,fail,3
raw,SRR30333757,basic_statistics,Basic Statistics,pass,0
raw,SRR30333757,overrepresented_sequences,Overrepresented sequences,pass,0
raw,SRR30333757,per_base_n_content,Per base N content,pass,0
raw,SRR30333757,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333757,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333757,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333757,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333757,per_tile_sequence_quality,Per tile sequence quality,pass,0
raw,SRR30333757,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333757,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333758,adapter_content,Adapter Content,fail,3
raw,SRR30333758,basic_statistics,Basic Statistics,pass,0
raw,SRR30333758,overrepresented_sequences,Overrepresented sequences,pass,0
raw,SRR30333758,per_base_n_content,Per base N content,pass,0
raw,SRR30333758,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333758,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333758,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333758,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333758,per_tile_sequence_quality,Per tile sequence quality,pass,0
raw,SRR30333758,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333758,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333759,adapter_content,Adapter Content,fail,3
raw,SRR30333759,basic_statistics,Basic Statistics,pass,0
raw,SRR30333759,overrepresented_sequences,Overrepresented sequences,pass,0
raw,SRR30333759,per_base_n_content,Per base N content,pass,0
raw,SRR30333759,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333759,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333759,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333759,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333759,per_tile_sequence_quality,Per tile sequence quality,pass,0
raw,SRR30333759,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333759,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333760,adapter_content,Adapter Content,fail,3
raw,SRR30333760,basic_statistics,Basic Statistics,pass,0
raw,SRR30333760,overrepresented_sequences,Overrepresented sequences,pass,0
raw,SRR30333760,per_base_n_content,Per base N content,pass,0
raw,SRR30333760,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333760,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333760,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333760,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333760,per_tile_sequence_quality,Per tile sequence quality,pass,0
raw,SRR30333760,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333760,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333761,adapter_content,Adapter Content,fail,3
raw,SRR30333761,basic_statistics,Basic Statistics,pass,0
raw,SRR30333761,overrepresented_sequences,Overrepresented sequences,pass,0
raw,SRR30333761,per_base_n_content,Per base N content,pass,0
raw,SRR30333761,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333761,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333761,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333761,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333761,per_tile_sequence_quality,Per tile sequence quality,pass,0
raw,SRR30333761,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333761,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333762,adapter_content,Adapter Content,fail,3
raw,SRR30333762,basic_statistics,Basic Statistics,pass,0
raw,SRR30333762,overrepresented_sequences,Overrepresented sequences,pass,0
raw,SRR30333762,per_base_n_content,Per base N content,pass,0
raw,SRR30333762,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333762,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333762,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333762,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333762,per_tile_sequence_quality,Per tile sequence quality,pass,0
raw,SRR30333762,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333762,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333763,adapter_content,Adapter Content,fail,3
raw,SRR30333763,basic_statistics,Basic Statistics,pass,0
raw,SRR30333763,overrepresented_sequences,Overrepresented sequences,pass,0
raw,SRR30333763,per_base_n_content,Per base N content,pass,0
raw,SRR30333763,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333763,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333763,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333763,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333763,per_tile_sequence_quality,Per tile sequence quality,pass,0
raw,SRR30333763,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333763,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333764,adapter_content,Adapter Content,fail,3
raw,SRR30333764,basic_statistics,Basic Statistics,pass,0
raw,SRR30333764,overrepresented_sequences,Overrepresented sequences,pass,0
raw,SRR30333764,per_base_n_content,Per base N content,pass,0
raw,SRR30333764,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333764,per_base_sequence_quality,Per base sequence quality,pass,0
