Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
fastp | SRR35329988_2	(30, 1590.0)	(35, 3476.0)	(40, 10012.0)	(45, 17736.0)	(50, 45763.0)	(55, 68813.0)	(60, 139926.0)	(65, 201945.0)	(70, 316477.0)	(75, 543084.0)	(80, 688396.0)	(85, 1037265.0)	(90, 1381633.0)	(95, 1870207.0)	(100, 2253070.0)	(105, 2690824.0)	(110, 2925275.0)	(115, 3097897.0)	(120, 3135331.0)	(125, 3060212.0)	(130, 2974314.0)	(135, 2817273.0)	(140, 2777258.0)	(145, 2654173.0)	(150, 26845732.0)
fastp | SRR35329989_1	(30, 725.0)	(35, 2223.0)	(40, 15109.0)	(45, 35838.0)	(50, 38743.0)	(55, 60409.0)	(60, 133390.0)	(65, 191177.0)	(70, 289895.0)	(75, 448346.0)	(80, 636204.0)	(85, 976550.0)	(90, 1303793.0)	(95, 1791785.0)	(100, 2170340.0)	(105, 2602719.0)	(110, 2839101.0)	(115, 3013156.0)	(120, 3052154.0)	(125, 2968130.0)	(130, 2890612.0)	(135, 2702905.0)	(140, 2653481.0)	(145, 2477721.0)	(150, 25810291.0)
fastp | SRR35329989_2	(30, 1341.0)	(35, 2987.0)	(40, 8798.0)	(45, 15921.0)	(50, 39809.0)	(55, 60998.0)	(60, 123879.0)	(65, 181784.0)	(70, 288077.0)	(75, 504064.0)	(80, 638518.0)	(85, 978848.0)	(90, 1306214.0)	(95, 1794629.0)	(100, 2173434.0)	(105, 2606680.0)	(110, 2844043.0)	(115, 3019572.0)	(120, 3061253.0)	(125, 2979790.0)	(130, 2906484.0)	(135, 2726521.0)	(140, 2687765.0)	(145, 2534423.0)	(150, 25618965.0)
fastp | SRR35329990_1	(30, 859.0)	(35, 2360.0)	(40, 8239.0)	(45, 45736.0)	(50, 42163.0)	(55, 63924.0)	(60, 146882.0)	(65, 211610.0)	(70, 307245.0)	(75, 468330.0)	(80, 659621.0)	(85, 1001152.0)	(90, 1331162.0)	(95, 1809807.0)	(100, 2164918.0)	(105, 2584413.0)	(110, 2801208.0)	(115, 2951903.0)	(120, 2982635.0)	(125, 2898684.0)	(130, 2820594.0)	(135, 2647417.0)	(140, 2598736.0)	(145, 2441119.0)	(150, 25335748.0)
fastp | SRR35329990_2	(30, 1493.0)	(35, 3144.0)	(40, 9202.0)	(45, 16487.0)	(50, 42561.0)	(55, 64295.0)	(60, 132130.0)	(65, 192473.0)	(70, 304401.0)	(75, 542030.0)	(80, 662667.0)	(85, 1003678.0)	(90, 1333836.0)	(95, 1812471.0)	(100, 2168018.0)	(105, 2588728.0)	(110, 2806633.0)	(115, 2958928.0)	(120, 2991941.0)	(125, 2910805.0)	(130, 2837215.0)	(135, 2670081.0)	(140, 2627967.0)	(145, 2486855.0)	(150, 25158426.0)
fastp | SRR35329991_1	(30, 1018.0)	(35, 2887.0)	(40, 10617.0)	(45, 27524.0)	(50, 57879.0)	(55, 87433.0)	(60, 240156.0)	(65, 304769.0)	(70, 368570.0)	(75, 568382.0)	(80, 760734.0)	(85, 1162654.0)	(90, 1485624.0)	(95, 2031779.0)	(100, 2378082.0)	(105, 2838515.0)	(110, 3043729.0)	(115, 3201684.0)	(120, 3245818.0)	(125, 3130981.0)	(130, 3079911.0)	(135, 2859515.0)	(140, 2866571.0)	(145, 2662899.0)	(150, 28384935.0)
fastp | SRR35329991_2	(30, 1762.0)	(35, 3739.0)	(40, 11750.0)	(45, 22117.0)	(50, 56752.0)	(55, 86596.0)	(60, 166374.0)	(65, 245863.0)	(70, 362993.0)	(75, 725820.0)	(80, 763476.0)	(85, 1165404.0)	(90, 1488317.0)	(95, 2034401.0)	(100, 2381464.0)	(105, 2842957.0)	(110, 3049218.0)	(115, 3208893.0)	(120, 3255060.0)	(125, 3142289.0)	(130, 3094328.0)	(135, 2877663.0)	(140, 2882847.0)	(145, 2685017.0)	(150, 28247566.0)
fastp | SRR35329992_1	(30, 973.0)	(35, 2501.0)	(40, 67406.0)	(45, 29985.0)	(50, 44614.0)	(55, 68195.0)	(60, 143826.0)	(65, 211126.0)	(70, 340167.0)	(75, 529961.0)	(80, 776792.0)	(85, 1174596.0)	(90, 1610830.0)	(95, 2189923.0)	(100, 2702840.0)	(105, 3233727.0)	(110, 3585609.0)	(115, 3800040.0)	(120, 3885318.0)	(125, 3802720.0)	(130, 3705367.0)	(135, 3500515.0)	(140, 3418237.0)	(145, 3234477.0)	(150, 33984691.0)
fastp | SRR35329992_2	(30, 1766.0)	(35, 3523.0)	(40, 9749.0)	(45, 17624.0)	(50, 45917.0)	(55, 69365.0)	(60, 143949.0)	(65, 211431.0)	(70, 341525.0)	(75, 608486.0)	(80, 779932.0)	(85, 1177836.0)	(90, 1614176.0)	(95, 2193366.0)	(100, 2706684.0)	(105, 3238675.0)	(110, 3591996.0)	(115, 3808352.0)	(120, 3896961.0)	(125, 3818325.0)	(130, 3727017.0)	(135, 3533751.0)	(140, 3476245.0)	(145, 3333338.0)	(150, 33694447.0)
fastp | SRR35329993_1	(30, 1105.0)	(35, 3025.0)	(40, 11045.0)	(45, 28366.0)	(50, 61672.0)	(55, 95920.0)	(60, 263302.0)	(65, 392324.0)	(70, 438806.0)	(75, 671533.0)	(80, 921041.0)	(85, 1407562.0)	(90, 1835533.0)	(95, 2520331.0)	(100, 2991271.0)	(105, 3584803.0)	(110, 3876287.0)	(115, 4098403.0)	(120, 4156391.0)	(125, 4031048.0)	(130, 3953736.0)	(135, 3696738.0)	(140, 3673727.0)	(145, 3439680.0)	(150, 36223030.0)
fastp | SRR35329993_2	(30, 1939.0)	(35, 4021.0)	(40, 12300.0)	(45, 23881.0)	(50, 61717.0)	(55, 96004.0)	(60, 188118.0)	(65, 280961.0)	(70, 425951.0)	(75, 887957.0)	(80, 924798.0)	(85, 1410689.0)	(90, 1838798.0)	(95, 2523758.0)	(100, 2995195.0)	(105, 3590255.0)	(110, 3883385.0)	(115, 4107345.0)	(120, 4168742.0)	(125, 4047701.0)	(130, 3977007.0)	(135, 3730580.0)	(140, 3722832.0)	(145, 3521177.0)	(150, 35951568.0)
fastp | SRR35329994_1	(30, 916.0)	(35, 2569.0)	(40, 9306.0)	(45, 21681.0)	(50, 49094.0)	(55, 76581.0)	(60, 195503.0)	(65, 281815.0)	(70, 350771.0)	(75, 533730.0)	(80, 743400.0)	(85, 1117841.0)	(90, 1472907.0)	(95, 1983825.0)	(100, 2368708.0)	(105, 2804289.0)	(110, 3034435.0)	(115, 3174530.0)	(120, 3221198.0)	(125, 3100993.0)	(130, 3031885.0)	(135, 2817400.0)	(140, 2787132.0)	(145, 2596918.0)	(150, 27676827.0)
fastp | SRR35329994_2	(30, 1677.0)	(35, 3563.0)	(40, 10131.0)	(45, 19463.0)	(50, 50349.0)	(55, 77214.0)	(60, 151873.0)	(65, 223509.0)	(70, 343906.0)	(75, 654799.0)	(80, 746382.0)	(85, 1120640.0)	(90, 1475878.0)	(95, 1986949.0)	(100, 2372401.0)	(105, 2808944.0)	(110, 3040169.0)	(115, 3181923.0)	(120, 3230964.0)	(125, 3114163.0)	(130, 3049825.0)	(135, 2845742.0)	(140, 2829812.0)	(145, 2669933.0)	(150, 27444045.0)
fastp | SRR35329995_1	(30, 858.0)	(35, 2456.0)	(40, 8046.0)	(45, 49036.0)	(50, 54955.0)	(55, 66530.0)	(60, 166357.0)	(65, 231249.0)	(70, 328792.0)	(75, 508745.0)	(80, 730816.0)	(85, 1122122.0)	(90, 1501723.0)	(95, 2048358.0)	(100, 2468910.0)	(105, 2942648.0)	(110, 3188391.0)	(115, 3360584.0)	(120, 3391503.0)	(125, 3293017.0)	(130, 3192258.0)	(135, 2991956.0)	(140, 2937619.0)	(145, 2757853.0)	(150, 28359639.0)
fastp | SRR35329995_2	(30, 1542.0)	(35, 3280.0)	(40, 9120.0)	(45, 17321.0)	(50, 42711.0)	(55, 66091.0)	(60, 136466.0)	(65, 202829.0)	(70, 323760.0)	(75, 627091.0)	(80, 733529.0)	(85, 1124858.0)	(90, 1504591.0)	(95, 2051198.0)	(100, 2472271.0)	(105, 2946904.0)	(110, 3194001.0)	(115, 3368050.0)	(120, 3400948.0)	(125, 3305966.0)	(130, 3208713.0)	(135, 3013948.0)	(140, 2962011.0)	(145, 2797456.0)	(150, 28189766.0)
fastp | SRR35329996_1	(30, 798.0)	(35, 2262.0)	(40, 8286.0)	(45, 17822.0)	(50, 45439.0)	(55, 71548.0)	(60, 168579.0)	(65, 275116.0)	(70, 344311.0)	(75, 526450.0)	(80, 728425.0)	(85, 1100588.0)	(90, 1445511.0)	(95, 1955516.0)	(100, 2329501.0)	(105, 2771508.0)	(110, 2991531.0)	(115, 3152876.0)	(120, 3182838.0)	(125, 3091149.0)	(130, 3006710.0)	(135, 2820188.0)	(140, 2785493.0)	(145, 2630436.0)	(150, 27636161.0)
fastp | SRR35329996_2	(30, 1570.0)	(35, 3177.0)	(40, 9432.0)	(45, 17815.0)	(50, 46929.0)	(55, 72712.0)	(60, 147867.0)	(65, 218455.0)	(70, 337062.0)	(75, 620036.0)	(80, 731069.0)	(85, 1103322.0)	(90, 1448477.0)	(95, 1958547.0)	(100, 2332905.0)	(105, 2775723.0)	(110, 2996421.0)	(115, 3158835.0)	(120, 3190316.0)	(125, 3099233.0)	(130, 3015189.0)	(135, 2825504.0)	(140, 2765955.0)	(145, 2590638.0)	(150, 27621853.0)
