read_id,srr,fastx_total_sequences,fastp_total_sequences,fastx_sequence_length,fastp_sequence_length,fastx_adapter_max,fastp_adapter_max,adapter_max_delta_fastp_minus_fastx,fastx_dominant_signal_label,fastp_dominant_signal_label,fastx_dominant_overrep_pct,fastp_dominant_overrep_pct,fastx_status_adapter_content,fastp_status_adapter_content,direction_adapter_content,fastx_status_overrepresented_sequences,fastp_status_overrepresented_sequences,direction_overrepresented_sequences,fastx_status_per_base_sequence_content,fastp_status_per_base_sequence_content,direction_per_base_sequence_content,fastx_status_sequence_length_distribution,fastp_status_sequence_length_distribution,direction_sequence_length_distribution,fastp_retained_pct,fastp_q20_rate_after,fastp_q30_rate_after
SRR30333756_2,SRR30333756,49776986,47678165,84-151,30-151,32.48929937220385,0.04344546397706371,-32.44585390822679,poly-G artifact,not detected,1.0564560899689668,,fail,pass,improved,fail,pass,improved,warn,warn,unchanged,warn,warn,unchanged,95.7835514589011,0.982283,0.946339
SRR30333757_1,SRR30333757,45214590,44963837,56-151,30-151,28.853580227090415,0.005419911116571302,-28.848160315973843,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,99.44541573859235,0.969033,0.913103
SRR30333757_2,SRR30333757,45214441,44963837,30-151,30-151,29.050521712742174,0.003958736884487861,-29.046562975857686,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,warn,warn,unchanged,warn,warn,unchanged,99.44541573859235,0.969033,0.913103
SRR30333758_1,SRR30333758,40451510,40122532,39-151,30-151,25.050132862778177,0.004468810692206564,-25.04566405208597,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,99.1867349327627,0.968586,0.911543
SRR30333758_2,SRR30333758,40451272,40122532,30-151,30-151,25.528915382438406,0.004862604383990522,-25.524052778054415,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,warn,warn,unchanged,warn,warn,unchanged,99.1867349327627,0.968586,0.911543
SRR30333759_1,SRR30333759,42770472,42596005,38-151,30-151,28.76927801965805,0.00486430593667176,-28.76441371372138,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,99.59208074242993,0.970486,0.914979
SRR30333759_2,SRR30333759,42770418,42596005,30-151,30-151,28.800097300896148,0.004108366500567366,-28.79598893439558,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,warn,warn,unchanged,warn,warn,unchanged,99.59208074242993,0.970486,0.914979
SRR30333760_1,SRR30333760,40865354,40650266,37-151,30-151,28.686870056233943,0.005141417770796383,-28.681728638463145,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,99.47366661744812,0.969519,0.915876
SRR30333760_2,SRR30333760,40865285,40650266,30-151,30-151,28.21422143513743,0.005475978927173564,-28.208745456210256,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,warn,warn,unchanged,warn,warn,unchanged,99.47366661744812,0.969519,0.915876
SRR30333761_1,SRR30333761,41844421,41590549,66-151,30-151,31.9011750694316,0.004712609107420053,-31.89646246032418,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,99.39329546464509,0.969086,0.913105
