focus_read,stage,stage_label,position,position_end,max_adapter_pct
SRR30333754_2,fastp,fastp,140,140,0.05889852568968728
SRR30333754_2,cutadapt,cutadapt,1,1,1.605756798699016e-05
SRR30333754_2,cutadapt,cutadapt,2,2,1.806476398536393e-05
SRR30333754_2,cutadapt,cutadapt,3,3,5.8208683952839327e-05
SRR30333754_2,cutadapt,cutadapt,4,4,6.824466394470818e-05
SRR30333754_2,cutadapt,cutadapt,5,5,0.0001665972678650229
SRR30333754_2,cutadapt,cutadapt,6,6,0.00019670520784062945
SRR30333754_2,cutadapt,cutadapt,7,7,0.00031713696774305565
SRR30333754_2,cutadapt,cutadapt,8,8,0.0003331945357300458
SRR30333754_2,cutadapt,cutadapt,9,9,0.0003472449077186622
SRR30333754_2,cutadapt,cutadapt,10-14,14,0.0004857414316064523
SRR30333754_2,cutadapt,cutadapt,15-19,19,0.0007948496153560127
SRR30333754_2,cutadapt,cutadapt,20-24,24,0.0010955275759124035
SRR30333754_2,cutadapt,cutadapt,25-29,29,0.0016165956570902342
SRR30333754_2,cutadapt,cutadapt,30-34,34,0.0037891846057300027
SRR30333754_2,cutadapt,cutadapt,35-39,39,0.010244326936500046
SRR30333754_2,cutadapt,cutadapt,40-44,44,0.026519474969713918
SRR30333754_2,cutadapt,cutadapt,45-49,49,0.0534817373766691
SRR30333754_2,cutadapt,cutadapt,50-54,54,0.10290412156622708
SRR30333754_2,cutadapt,cutadapt,55-59,59,0.17865328990965507
SRR30333754_2,cutadapt,cutadapt,60-64,64,0.2994431335781912
SRR30333754_2,cutadapt,cutadapt,65-69,69,0.48978312146877767
SRR30333754_2,cutadapt,cutadapt,70-74,74,0.7768972543465578
SRR30333754_2,cutadapt,cutadapt,75-79,79,1.230092805717779
SRR30333754_2,cutadapt,cutadapt,80-84,84,1.9329642702051124
SRR30333754_2,cutadapt,cutadapt,85-89,89,3.0177453187422225
SRR30333754_2,cutadapt,cutadapt,90-94,94,4.633378324631638
SRR30333754_2,cutadapt,cutadapt,95-99,99,6.911937186005548
SRR30333754_2,cutadapt,cutadapt,100-104,104,9.94750720809173
SRR30333754_2,cutadapt,cutadapt,105-109,109,13.73552121711548
SRR30333754_2,cutadapt,cutadapt,110-114,114,18.197322420610128
SRR30333754_2,cutadapt,cutadapt,115-119,119,23.11610514856813
SRR30333754_2,cutadapt,cutadapt,120-124,124,28.280196131149786
SRR30333754_2,cutadapt,cutadapt,125-129,129,33.46186854492039
SRR30333754_2,cutadapt,cutadapt,130-134,134,38.49856440324207
SRR30333754_2,cutadapt,cutadapt,135-139,139,43.27335209459433
SRR30333754_2,cutadapt,cutadapt,140,140,45.06009293919631
SRR30333756_2,raw,Raw FASTQ,1,1,4.017921052913891e-06
SRR30333756_2,raw,Raw FASTQ,2,2,1.8080644738112508e-05
SRR30333756_2,raw,Raw FASTQ,3,3,3.817025000268196e-05
SRR30333756_2,raw,Raw FASTQ,4,4,5.8259855267251415e-05
SRR30333756_2,raw,Raw FASTQ,5,5,0.00010647490790221811
SRR30333756_2,raw,Raw FASTQ,6,6,0.00013058243421970145
SRR30333756_2,raw,Raw FASTQ,7,7,0.00021495877633089316
SRR30333756_2,raw,Raw FASTQ,8,8,0.00022701253948963484
SRR30333756_2,raw,Raw FASTQ,9,9,0.00022701253948963484
SRR30333756_2,raw,Raw FASTQ,10-14,14,0.000376880994763323
SRR30333756_2,raw,Raw FASTQ,15-19,19,0.0005392050053010442
SRR30333756_2,raw,Raw FASTQ,20-24,24,0.0006360369026762689
