contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
interaction	bend-point selected genes	GO:BP	GO:0070887	cellular response to chemical stimulus	4.760369364214913e-15	2438	1605	258	25907	['GO:0042221', 'GO:0051716']
interaction	bend-point selected genes	GO:BP	GO:0045597	positive regulation of cell differentiation	5.416458120293959e-15	966	1605	133	25907	['GO:0030154', 'GO:0045595', 'GO:0048522', 'GO:0051094']
interaction	bend-point selected genes	GO:BP	GO:0010647	positive regulation of cell communication	5.47007986851769e-15	1957	1605	219	25907	['GO:0007154', 'GO:0010646', 'GO:0048522']
interaction	bend-point selected genes	GO:BP	GO:0006796	phosphate-containing compound metabolic process	6.942774027687399e-15	2232	1605	241	25907	['GO:0006793']
interaction	bend-point selected genes	GO:BP	GO:0048584	positive regulation of response to stimulus	8.663887881550954e-15	2336	1605	249	25907	['GO:0048518', 'GO:0048583', 'GO:0050896']
interaction	bend-point selected genes	GO:BP	GO:0051240	positive regulation of multicellular organismal process	1.0970663797248953e-14	1775	1605	203	25907	['GO:0032501', 'GO:0048518', 'GO:0051239']
interaction	bend-point selected genes	GO:BP	GO:0051050	positive regulation of transport	1.678002003931131e-14	936	1605	129	25907	['GO:0006810', 'GO:0048518', 'GO:0051049']
interaction	bend-point selected genes	GO:BP	GO:0048666	neuron development	1.787880499712708e-14	1302	1605	162	25907	['GO:0030182', 'GO:0048468']
interaction	bend-point selected genes	GO:BP	GO:0030335	positive regulation of cell migration	1.8373473034147205e-14	579	1605	94	25907	['GO:0016477', 'GO:0030334', 'GO:2000147']
interaction	bend-point selected genes	GO:BP	GO:0036211	protein modification process	1.8462348360241307e-14	2540	1605	264	25907	['GO:0019538', 'GO:0043412']
interaction	bend-point selected genes	GO:BP	GO:0071363	cellular response to growth factor stimulus	2.492736377799586e-14	731	1605	109	25907	['GO:0070848', 'GO:0071495']
interaction	bend-point selected genes	GO:BP	GO:0009893	positive regulation of metabolic process	3.252542671923962e-14	3493	1605	336	25907	['GO:0008152', 'GO:0019222', 'GO:0048522']
interaction	bend-point selected genes	GO:BP	GO:0045184	establishment of protein localization	4.04052314129616e-14	1724	1605	197	25907	['GO:0008104', 'GO:0051234']
interaction	bend-point selected genes	GO:BP	GO:0031175	neuron projection development	4.169211991967443e-14	1144	1605	147	25907	['GO:0048666', 'GO:0120036']
interaction	bend-point selected genes	GO:BP	GO:0007507	heart development	6.943058471097733e-14	660	1605	101	25907	['GO:0048513', 'GO:0072359']
interaction	bend-point selected genes	GO:BP	GO:0040017	positive regulation of locomotion	9.483446547886102e-14	623	1605	97	25907	['GO:0040011', 'GO:0040012', 'GO:0048518']
interaction	bend-point selected genes	GO:BP	GO:1901700	response to oxygen-containing compound	1.0481101063435558e-13	1971	1605	216	25907	['GO:0042221']
interaction	bend-point selected genes	GO:BP	GO:0034220	monoatomic ion transmembrane transport	1.1426720806609405e-13	980	1605	131	25907	['GO:0006811', 'GO:0055085']
