gene_id	pvalue	padj	log2FoldChange	baseMean	rank	rank_frac	neglog10_pvalue	distance_to_line	selected_by_bend
ENSMUSG00000049612	0.442200089705881		-0.0880628609356164	1048.71696018987	11104	0.5172606568832984	0.3543811736551675	0.4233532431329842	False
ENSMUSG00000138908	0.442222737143344		-0.525028577117294	10.6036772184298	11105	0.5173072443512695	0.3543589316758269	0.4233105721014809	False
ENSMUSG00000022022	0.442292324445425		0.0767360514239054	390.065494927075	11106	0.5173538318192407	0.3542905973247704	0.423274898225286	False
ENSMUSG00000091735	0.442331858996073		-0.303392839475256	21.8531062423792	11107	0.5174004192872117	0.35425177940067615	0.42323474354205276	False
ENSMUSG00000120079	0.442473236266196		-0.247132226398492	37.2921662152251	11108	0.5174470067551828	0.3541129931998908	0.42320976476606564	False
ENSMUSG00000027131	0.442538158428913	0.673087839199826	0.0485779331132294	4399.38648967797	11109	0.517493594223154	0.35404927574440764	0.4231733900117392	False
ENSMUSG00000001674	0.44254221736785		-0.0477441218269784	1020.65884387549	11110	0.517540181691125	0.3540452924343469	0.42312794718221564	False
ENSMUSG00000104002	0.442581357620325		-0.353498253125473	15.6121028918806	11111	0.5175867691590962	0.354006883343997	0.4230877304350637	False
ENSMUSG00000005043	0.442592939224986		-0.0737504895347281	708.68046322834	11112	0.5176333566270673	0.35399551874153606	0.4230434081390985	False
ENSMUSG00000004099	0.442648131826972		0.0622230422351216	2025.68998522	11113	0.5176799440950385	0.35394136435738177	0.4230055816413963	False
ENSMUSG00000087174	0.442648234963926		0.0904592900617338	491.684731088423	11114	0.5177265315630095	0.3539412631668388	0.42295954947805936	False
ENSMUSG00000140907	0.442686137637697		0.444579502834582	13.2626831712967	11115	0.5177731190309807	0.3539040773925425	0.42291914702268496	False
ENSMUSG00000031708	0.442810959341633	0.673290434080925	0.0447012017708629	25047.8450774346	11116	0.5178197064989518	0.3537816390970695	0.422891686516464	False
ENSMUSG00000026004	0.44303809712104		-0.074578850432079	684.208383527953	11117	0.5178662939669229	0.3535589269190289	0.42287944831067126	False
