Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
qc_bundle_trimmed | SRR30333758_1	65.49862508577169	49.0	150.94043443619287	151	27.27272727272727	40.45151
qc_bundle_trimmed | SRR30333758_2	64.10881194257958	49.0	150.92552377586543	151	18.181818181818183	40.451271999999996
qc_bundle_trimmed | SRR30333759_1	64.51066474633602	49.0	150.9426280121482	151	27.27272727272727	42.770472
qc_bundle_trimmed | SRR30333759_2	64.37630856571603	49.0	150.94140557616248	151	18.181818181818183	42.770418
qc_bundle_trimmed | SRR30333760_1	65.2216253030177	49.0	150.9536417817401	151	27.27272727272727	40.865353999999996
qc_bundle_trimmed | SRR30333760_2	63.95687727985192	49.0	150.93663555753986	151	18.181818181818183	40.865285
qc_bundle_trimmed | SRR30333761_1	62.52163600950954	49.0	150.46211437601204	150	27.27272727272727	41.844421
qc_bundle_trimmed | SRR30333761_2	63.75252666689895	49.0	150.9310294921575	151	18.181818181818183	41.844175
qc_bundle_trimmed | SRR30333762_1	65.16718171283236	49.0	150.93470263786153	151	27.27272727272727	40.388093999999995
qc_bundle_trimmed | SRR30333762_2	63.7499022485756	49.0	150.9417231069564	151	18.181818181818183	40.387963
qc_bundle_trimmed | SRR30333763_1	65.76507754003539	49.0	150.95248045787804	151	27.27272727272727	42.844246999999996
qc_bundle_trimmed | SRR30333763_2	64.32689614113482	49.0	150.93518728517344	151	18.181818181818183	42.844155
qc_bundle_trimmed | SRR30333764_1	64.5628857150487	49.0	150.46097779323964	150	27.27272727272727	40.512572999999996
qc_bundle_trimmed | SRR30333764_2	63.62897560690101	49.0	150.93786750871183	151	18.181818181818183	40.512474999999995
qc_bundle_trimmed | SRR30333765_1	61.93214485340996	49.0	150.9234965399649	151	27.27272727272727	40.364475
qc_bundle_trimmed | SRR30333765_2	62.61677811395007	49.0	150.92765936689003	151	18.181818181818183	40.364202999999996
qc_bundle_trimmed | SRR30333766_1	65.51110420740443	49.0	150.96004920079585	151	27.27272727272727	45.014719
qc_bundle_trimmed | SRR30333766_2	64.70248040072121	49.0	150.93509862857513	151	18.181818181818183	45.014641999999995
qc_bundle_trimmed | SRR30333767_1	64.62218062190469	49.0	150.91706165710923	151	27.27272727272727	42.072326
qc_bundle_trimmed | SRR30333767_2	63.88956421904602	49.0	150.92851625466585	151	18.181818181818183	42.072165999999996
qc_bundle_trimmed | SRR30333768_1	64.1225908525361	49.0	150.92216449143987	151	27.27272727272727	41.49529
qc_bundle_trimmed | SRR30333768_2	62.28790139361675	49.0	150.9137306764787	151	18.181818181818183	41.494831
