Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
qc_bundle_trimmed | SRR30333753_1	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 12.0)	(17.0, 484.0)	(18.0, 5557.0)	(19.0, 22303.0)	(20.0, 53634.0)	(21.0, 82481.0)	(22.0, 91743.0)	(23.0, 94562.0)	(24.0, 105662.0)	(25.0, 114399.0)	(26.0, 128949.0)	(27.0, 143031.0)	(28.0, 167810.0)	(29.0, 196349.0)	(30.0, 235538.0)	(31.0, 285748.0)	(32.0, 387461.0)	(33.0, 539593.0)	(34.0, 757025.0)	(35.0, 1012799.0)	(36.0, 1599856.0)	(37.0, 2542821.0)	(38.0, 5198638.0)	(39.0, 22024530.0)	(40.0, 4520775.0)							
qc_bundle_trimmed | SRR30333753_2	(14.0, 14.0)	(15.0, 983.0)	(16.0, 27203.0)	(17.0, 158716.0)	(18.0, 273377.0)	(19.0, 234874.0)	(20.0, 198682.0)	(21.0, 158998.0)	(22.0, 128953.0)	(23.0, 116796.0)	(24.0, 119920.0)	(25.0, 125393.0)	(26.0, 136842.0)	(27.0, 149424.0)	(28.0, 176155.0)	(29.0, 205586.0)	(30.0, 252387.0)	(31.0, 308619.0)	(32.0, 407164.0)	(33.0, 535817.0)	(34.0, 734816.0)	(35.0, 1019498.0)	(36.0, 1612535.0)	(37.0, 2801519.0)	(38.0, 6240532.0)	(39.0, 20296050.0)	(40.0, 3890909.0)									
qc_bundle_trimmed | SRR30333754_1	(16.0, 10.0)	(17.0, 407.0)	(18.0, 4399.0)	(19.0, 19974.0)	(20.0, 51809.0)	(21.0, 80731.0)	(22.0, 91657.0)	(23.0, 98593.0)	(24.0, 110412.0)	(25.0, 120534.0)	(26.0, 136524.0)	(27.0, 152239.0)	(28.0, 178987.0)	(29.0, 207504.0)	(30.0, 248760.0)	(31.0, 298357.0)	(32.0, 391696.0)	(33.0, 530478.0)	(34.0, 771833.0)	(35.0, 1118141.0)	(36.0, 1759460.0)	(37.0, 2869422.0)	(38.0, 6280942.0)	(39.0, 28221683.0)	(40.0, 7347278.0)											
qc_bundle_trimmed | SRR30333754_2	(14.0, 20.0)	(15.0, 1935.0)	(16.0, 52963.0)	(17.0, 285479.0)	(18.0, 465213.0)	(19.0, 359425.0)	(20.0, 261317.0)	(21.0, 190072.0)	(22.0, 147521.0)	(23.0, 131238.0)	(24.0, 133616.0)	(25.0, 138618.0)	(26.0, 151182.0)	(27.0, 165319.0)	(28.0, 194501.0)	(29.0, 225672.0)	(30.0, 278004.0)	(31.0, 341623.0)	(32.0, 454497.0)	(33.0, 602857.0)	(34.0, 833964.0)	(35.0, 1166166.0)	(36.0, 1883924.0)	(37.0, 3356439.0)	(38.0, 7776348.0)	(39.0, 26098461.0)	(40.0, 5395456.0)									
qc_bundle_trimmed | SRR30333755_1	(15.0, 1.0)	(16.0, 15.0)	(17.0, 478.0)	(18.0, 5560.0)	(19.0, 23530.0)	(20.0, 58623.0)	(21.0, 92493.0)	(22.0, 103983.0)	(23.0, 107572.0)	(24.0, 120151.0)	(25.0, 131417.0)	(26.0, 148573.0)	(27.0, 166387.0)	(28.0, 194755.0)	(29.0, 226999.0)	(30.0, 275264.0)	(31.0, 332735.0)	(32.0, 460301.0)	(33.0, 634487.0)	(34.0, 856226.0)	(35.0, 1100127.0)	(36.0, 1748977.0)	(37.0, 2755004.0)	(38.0, 5389683.0)	(39.0, 21279119.0)	(40.0, 3924441.0)										
qc_bundle_trimmed | SRR30333755_2	(14.0, 8.0)	(15.0, 1163.0)	(16.0, 32243.0)	(17.0, 177376.0)	(18.0, 297006.0)	(19.0, 247694.0)	(20.0, 204131.0)	(21.0, 161491.0)	(22.0, 131216.0)	(23.0, 119661.0)	(24.0, 122999.0)	(25.0, 129339.0)	(26.0, 142600.0)	(27.0, 156676.0)	(28.0, 185024.0)	(29.0, 220268.0)	(30.0, 274690.0)	(31.0, 339387.0)	(32.0, 456805.0)	(33.0, 604577.0)	(34.0, 830352.0)	(35.0, 1150083.0)	(36.0, 1796993.0)	(37.0, 3074753.0)	(38.0, 6527692.0)	(39.0, 19087825.0)	(40.0, 3664849.0)									
qc_bundle_trimmed | SRR30333756_1	(14.0, 1.0)	(15.0, 0.0)	(16.0, 5.0)	(17.0, 300.0)	(18.0, 3687.0)	(19.0, 15789.0)	(20.0, 41619.0)	(21.0, 67117.0)	(22.0, 77472.0)	(23.0, 82992.0)	(24.0, 93894.0)	(25.0, 103266.0)	(26.0, 117736.0)	(27.0, 132898.0)	(28.0, 155994.0)	(29.0, 179039.0)	(30.0, 214950.0)	(31.0, 256301.0)	(32.0, 334087.0)	(33.0, 444248.0)	(34.0, 617374.0)	(35.0, 870868.0)	(36.0, 1469139.0)	(37.0, 2498704.0)	(38.0, 5508920.0)	(39.0, 28911587.0)	(40.0, 7578999.0)									
qc_bundle_trimmed | SRR30333756_2	(14.0, 16.0)	(15.0, 1510.0)	(16.0, 44184.0)	(17.0, 253361.0)	(18.0, 429298.0)	(19.0, 336600.0)	(20.0, 249721.0)	(21.0, 187275.0)	(22.0, 146565.0)	(23.0, 129486.0)	(24.0, 132004.0)	(25.0, 134826.0)	(26.0, 145051.0)	(27.0, 155806.0)	(28.0, 179566.0)	(29.0, 206616.0)	(30.0, 248104.0)	(31.0, 298745.0)	(32.0, 390651.0)	(33.0, 514623.0)	(34.0, 716772.0)	(35.0, 1016432.0)	(36.0, 1668382.0)	(37.0, 2978297.0)	(38.0, 7008125.0)	(39.0, 26713292.0)	(40.0, 5491678.0)									
qc_bundle_trimmed | SRR30333757_1	(14.0, 3.0)	(15.0, 29.0)	(16.0, 115.0)	(17.0, 310.0)	(18.0, 657.0)	(19.0, 1155.0)	(20.0, 2313.0)	(21.0, 4290.0)	(22.0, 8202.0)	(23.0, 16099.0)	(24.0, 31079.0)	(25.0, 63795.0)	(26.0, 120059.0)	(27.0, 220934.0)	(28.0, 368238.0)	(29.0, 577895.0)	(30.0, 833058.0)	(31.0, 1159479.0)	(32.0, 1536077.0)	(33.0, 2139866.0)	(34.0, 3213571.0)	(35.0, 6735194.0)	(36.0, 26616577.0)	(37.0, 1565595.0)												
qc_bundle_trimmed | SRR30333757_2	(11.0, 5.0)	(12.0, 434.0)	(13.0, 3614.0)	(14.0, 7881.0)	(15.0, 8975.0)	(16.0, 7631.0)	(17.0, 7006.0)	(18.0, 7071.0)	(19.0, 9198.0)	(20.0, 13586.0)	(21.0, 21937.0)	(22.0, 33931.0)	(23.0, 49746.0)	(24.0, 71580.0)	(25.0, 105800.0)	(26.0, 153661.0)	(27.0, 227245.0)	(28.0, 324556.0)	(29.0, 469214.0)	(30.0, 665387.0)	(31.0, 966502.0)	(32.0, 1413460.0)	(33.0, 2276810.0)	(34.0, 4186338.0)	(35.0, 10426178.0)	(36.0, 22608930.0)	(37.0, 1147765.0)									
