Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
qc_bundle_trimmed | SRR30333755_1	(1.0, 19.63568133787781)	(2.0, 11.91837513266826)	(3.0, 8.857534821259302)	(4.0, 6.147871568779778)	(5.0, 4.493078344341956)	(6.0, 3.5466982325055567)	(7.0, 2.8856079430213546)	(8.0, 2.3860662664901877)	(9.0, 2.0833417917417543)	('>10', 22.173083373537462)	('>50', 5.574934353546572)	('>100', 7.612602509914159)	('>500', 1.3988049925551287)	('>1k', 1.1394697519327392)	('>5k', 0.04807738350126899)	('>10k+', 0.09877219632667535)
qc_bundle_trimmed | SRR30333755_2	(1.0, 17.94973591859519)	(2.0, 10.714099653793694)	(3.0, 8.46294487695557)	(4.0, 6.3251127086579775)	(5.0, 4.843566134951825)	(6.0, 3.788267845014555)	(7.0, 3.1114795042362218)	(8.0, 2.6309420705057867)	(9.0, 2.149120696945741)	('>10', 23.310005159514898)	('>50', 5.587922489978797)	('>100', 7.659331519262312)	('>500', 1.5078336951463642)	('>1k', 0.9477941432089406)	('>5k', 0.0)	('>10k+', 1.0118435832322594)
qc_bundle_trimmed | SRR30333756_1	(1.0, 15.808769333641038)	(2.0, 10.378938180469472)	(3.0, 8.744998517617681)	(4.0, 6.668293020821489)	(5.0, 4.908589569032771)	(6.0, 3.8271740694943808)	(7.0, 3.1021929270817035)	(8.0, 2.657552691249127)	(9.0, 2.2293642656621615)	('>10', 24.85961320530553)	('>50', 6.0955389676587)	('>100', 8.16540973978527)	('>500', 1.5405743114198946)	('>1k', 1.0129912007608437)	('>5k', 0.0)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333756_2	(1.0, 15.994068565724904)	(2.0, 8.790790395481789)	(3.0, 8.027400555831347)	(4.0, 6.263803872172975)	(5.0, 4.94588419916178)	(6.0, 4.142613264137824)	(7.0, 3.3471441656750915)	(8.0, 2.8311848788069027)	(9.0, 2.4209999171421006)	('>10', 25.37127157147166)	('>50', 6.1349713375701045)	('>100', 8.007564231490113)	('>500', 1.4839844209086004)	('>1k', 0.9438255770595098)	('>5k', 0.01275816212684752)	('>10k+', 1.2817348852383752)
qc_bundle_trimmed | SRR30333757_1	(1.0, 24.170252509761287)	(2.0, 9.183383247222201)	(3.0, 6.199354996808328)	(4.0, 4.539734381672177)	(5.0, 3.7553507706246534)	(6.0, 3.044374913388815)	(7.0, 2.507204350331632)	(8.0, 2.2762134299353436)	(9.0, 1.968205593977852)	('>10', 23.90034151628732)	('>50', 6.269606996917684)	('>100', 8.622696176971473)	('>500', 1.8217364641502138)	('>1k', 1.6354373276659118)	('>5k', 0.10610732428512021)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333757_2	(1.0, 23.497188728855022)	(2.0, 10.031334889260037)	(3.0, 7.004484073539075)	(4.0, 5.144129880526447)	(5.0, 4.226274307901612)	(6.0, 3.3005184708050757)	(7.0, 2.7741206832472725)	(8.0, 2.2993865029652594)	(9.0, 2.0498029180246338)	('>10', 23.215949821465312)	('>50', 5.732789614665061)	('>100', 7.7243748287911)	('>500', 1.717874002204301)	('>1k', 1.2315232910204725)	('>5k', 0.050247986729224356)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333758_1	(1.0, 22.319526477974517)	(2.0, 10.361234668879424)	(3.0, 6.656483663312243)	(4.0, 4.738945763990012)	(5.0, 3.8719664598337475)	(6.0, 3.1200274978669444)	(7.0, 2.667420419662767)	(8.0, 2.266744475054348)	(9.0, 1.9400603672375487)	('>10', 23.424924444720666)	('>50', 6.203368865097213)	('>100', 8.543680472854033)	('>500', 1.8712469366291384)	('>1k', 1.8577924345523036)	('>5k', 0.15657705233493777)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333758_2	(1.0, 23.198175202073536)	(2.0, 10.569913728321632)	(3.0, 7.153394621643875)	(4.0, 5.372068516883959)	(5.0, 4.204384673324618)	(6.0, 3.3818345390088176)	(7.0, 2.7347952339779567)	(8.0, 2.3548248871564454)	(9.0, 1.9403356501079605)	('>10', 22.47324062270926)	('>50', 5.591966785640639)	('>100', 7.676778341835372)	('>500', 1.7411287019435284)	('>1k', 1.5394999264984284)	('>5k', 0.06765856887418123)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333759_1	(1.0, 23.903070437762295)	(2.0, 9.56340895870364)	(3.0, 6.246191921880038)	(4.0, 4.6485707138791525)	(5.0, 3.823304557480061)	(6.0, 3.1773133365831643)	(7.0, 2.5126798351847723)	(8.0, 2.2421703915092968)	(9.0, 1.9596047376143824)	('>10', 23.283291774542157)	('>50', 5.981172490794133)	('>100', 8.223702330090862)	('>500', 1.8915720443884256)	('>1k', 2.1928529211796373)	('>5k', 0.2684201440427554)	('>10k+', 0.08267340436516865)
qc_bundle_trimmed | SRR30333759_2	(1.0, 22.9799361533798)	(2.0, 10.431594606576413)	(3.0, 7.114107571924571)	(4.0, 5.266705695093768)	(5.0, 4.254134519617159)	(6.0, 3.4560617994479217)	(7.0, 2.783707869791671)	(8.0, 2.390212193271494)	(9.0, 2.1142023244380304)	('>10', 22.551962255714027)	('>50', 5.464531474250603)	('>100', 7.284825813854831)	('>500', 1.7835180985062822)	('>1k', 2.0295708961399197)	('>5k', 0.09492872799344071)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333760_1	(1.0, 22.624968893638194)	(2.0, 10.046592475134663)	(3.0, 6.71723520372949)	(4.0, 4.903475163635449)	(5.0, 3.9066028631710075)	(6.0, 3.251818246744499)	(7.0, 2.678266404714994)	(8.0, 2.297970006703043)	(9.0, 1.9625611546414377)	('>10', 23.88570902899027)	('>50', 6.282127863688215)	('>100', 8.192804977548686)	('>500', 1.608702702855139)	('>1k', 1.5547935852831019)	('>5k', 0.08637142952181301)	('>10k+', 0.0)
